
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.408858,um^2,Surface,,,,1,20,
Area,0.146395,um^2,Surface,,,,1,21,
Area,0.0470175,um^2,Surface,,,,1,23,
Area,1.50441e-05,um^2,Surface,,,,1,26,
Area,2.77038,um^2,Surface,,,,1,30,
Area,34.7905,um^2,Surface,,,,1,36,
Area,1447.69,um^2,Surface,,,,1,40,
Distance from Origin,221.037,um,Surface,,Distance from Origin,,1,20,
Distance from Origin,222.34,um,Surface,,Distance from Origin,,1,21,
Distance from Origin,193.176,um,Surface,,Distance from Origin,,1,23,
Distance from Origin,203.336,um,Surface,,Distance from Origin,,1,26,
Distance from Origin,209.583,um,Surface,,Distance from Origin,,1,30,
Distance from Origin,210.043,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,193.016,um,Surface,,Distance from Origin,,1,40,
Distance to Image Border XY,17.5135,um,Surface,,,Image 1,1,20,
Distance to Image Border XY,16.7865,um,Surface,,,Image 1,1,21,
Distance to Image Border XY,17.6845,um,Surface,,,Image 1,1,23,
Distance to Image Border XY,19.5624,um,Surface,,,Image 1,1,26,
Distance to Image Border XY,17.82,um,Surface,,,Image 1,1,30,
Distance to Image Border XY,13.785,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,14.6904,um,Surface,,,Image 1,1,40,
Ellipticity (oblate),0.59054,,Surface,,,,1,20,
Ellipticity (oblate),0.281545,,Surface,,,,1,21,
Ellipticity (oblate),0.853811,,Surface,,,,1,23,
Ellipticity (oblate),0.853888,,Surface,,,,1,26,
Ellipticity (oblate),0.405744,,Surface,,,,1,30,
Ellipticity (oblate),0.18206,,Surface,,,,1,36,
Ellipticity (oblate),0.380851,,Surface,,,,1,40,
Ellipticity (prolate),0.0755955,,Surface,,,,1,20,
Ellipticity (prolate),0.121847,,Surface,,,,1,21,
Ellipticity (prolate),0.108626,,Surface,,,,1,23,
Ellipticity (prolate),0.108594,,Surface,,,,1,26,
Ellipticity (prolate),0.38031,,Surface,,,,1,30,
Ellipticity (prolate),0.746175,,Surface,,,,1,36,
Ellipticity (prolate),0.0148196,,Surface,,,,1,40,
Generation,0,,Surface,,,,1,20,
Generation,0,,Surface,,,,1,21,
Generation,0,,Surface,,,,1,23,
Generation,0,,Surface,,,,1,26,
Generation,0,,Surface,,,,1,30,
Generation,0,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,40,
Intensity Max,0,,Surface,1,,Image 1,1,20,
Intensity Max,0,,Surface,2,,Image 1,1,20,
Intensity Max,86,,Surface,3,,Image 1,1,20,
Intensity Max,6,,Surface,4,,Image 1,1,20,
Intensity Max,0,,Surface,5,,Image 1,1,20,
Intensity Max,0,,Surface,6,,Image 1,1,20,
Intensity Max,0,,Surface,1,,Image 1,1,21,
Intensity Max,3,,Surface,2,,Image 1,1,21,
Intensity Max,72,,Surface,3,,Image 1,1,21,
Intensity Max,5,,Surface,4,,Image 1,1,21,
Intensity Max,0,,Surface,5,,Image 1,1,21,
Intensity Max,3,,Surface,6,,Image 1,1,21,
Intensity Max,0,,Surface,1,,Image 1,1,23,
Intensity Max,0,,Surface,2,,Image 1,1,23,
Intensity Max,59,,Surface,3,,Image 1,1,23,
Intensity Max,4,,Surface,4,,Image 1,1,23,
Intensity Max,0,,Surface,5,,Image 1,1,23,
Intensity Max,0,,Surface,6,,Image 1,1,23,
Intensity Max,0,,Surface,1,,Image 1,1,26,
Intensity Max,0,,Surface,2,,Image 1,1,26,
Intensity Max,41,,Surface,3,,Image 1,1,26,
Intensity Max,9,,Surface,4,,Image 1,1,26,
Intensity Max,0,,Surface,5,,Image 1,1,26,
Intensity Max,0,,Surface,6,,Image 1,1,26,
Intensity Max,2,,Surface,1,,Image 1,1,30,
Intensity Max,0,,Surface,2,,Image 1,1,30,
Intensity Max,10,,Surface,3,,Image 1,1,30,
Intensity Max,14,,Surface,4,,Image 1,1,30,
Intensity Max,2,,Surface,5,,Image 1,1,30,
Intensity Max,0,,Surface,6,,Image 1,1,30,
Intensity Max,5,,Surface,1,,Image 1,1,36,
Intensity Max,11,,Surface,2,,Image 1,1,36,
Intensity Max,38,,Surface,3,,Image 1,1,36,
Intensity Max,22,,Surface,4,,Image 1,1,36,
Intensity Max,5,,Surface,5,,Image 1,1,36,
Intensity Max,11,,Surface,6,,Image 1,1,36,
Intensity Max,80,,Surface,1,,Image 1,1,40,
Intensity Max,131,,Surface,2,,Image 1,1,40,
Intensity Max,166,,Surface,3,,Image 1,1,40,
Intensity Max,190,,Surface,4,,Image 1,1,40,
Intensity Max,80,,Surface,5,,Image 1,1,40,
Intensity Max,131,,Surface,6,,Image 1,1,40,
Intensity Mean,0,,Surface,1,,Image 1,1,20,
Intensity Mean,0,,Surface,2,,Image 1,1,20,
Intensity Mean,58.6307,,Surface,3,,Image 1,1,20,
Intensity Mean,2.0625,,Surface,4,,Image 1,1,20,
Intensity Mean,0,,Surface,5,,Image 1,1,20,
Intensity Mean,0,,Surface,6,,Image 1,1,20,
Intensity Mean,0,,Surface,1,,Image 1,1,21,
Intensity Mean,0.140625,,Surface,2,,Image 1,1,21,
Intensity Mean,59.1094,,Surface,3,,Image 1,1,21,
Intensity Mean,2.72656,,Surface,4,,Image 1,1,21,
Intensity Mean,0,,Surface,5,,Image 1,1,21,
Intensity Mean,0.140625,,Surface,6,,Image 1,1,21,
Intensity Mean,0,,Surface,1,,Image 1,1,23,
Intensity Mean,0,,Surface,2,,Image 1,1,23,
Intensity Mean,49.7188,,Surface,3,,Image 1,1,23,
Intensity Mean,1.59375,,Surface,4,,Image 1,1,23,
Intensity Mean,0,,Surface,5,,Image 1,1,23,
Intensity Mean,0,,Surface,6,,Image 1,1,23,
Intensity Mean,0,,Surface,1,,Image 1,1,26,
Intensity Mean,0,,Surface,2,,Image 1,1,26,
Intensity Mean,31.3281,,Surface,3,,Image 1,1,26,
Intensity Mean,2.35938,,Surface,4,,Image 1,1,26,
Intensity Mean,0,,Surface,5,,Image 1,1,26,
Intensity Mean,0,,Surface,6,,Image 1,1,26,
Intensity Mean,0.0237772,,Surface,1,,Image 1,1,30,
Intensity Mean,0,,Surface,2,,Image 1,1,30,
Intensity Mean,0.936141,,Surface,3,,Image 1,1,30,
Intensity Mean,2.31726,,Surface,4,,Image 1,1,30,
Intensity Mean,0.0237772,,Surface,5,,Image 1,1,30,
Intensity Mean,0,,Surface,6,,Image 1,1,30,
Intensity Mean,0.0105939,,Surface,1,,Image 1,1,36,
Intensity Mean,0.0700171,,Surface,2,,Image 1,1,36,
Intensity Mean,4.04006,,Surface,3,,Image 1,1,36,
Intensity Mean,3.89358,,Surface,4,,Image 1,1,36,
Intensity Mean,0.0105939,,Surface,5,,Image 1,1,36,
Intensity Mean,0.0700171,,Surface,6,,Image 1,1,36,
Intensity Mean,1.03755,,Surface,1,,Image 1,1,40,
Intensity Mean,1.86066,,Surface,2,,Image 1,1,40,
Intensity Mean,5.69647,,Surface,3,,Image 1,1,40,
Intensity Mean,10.8927,,Surface,4,,Image 1,1,40,
Intensity Mean,1.03755,,Surface,5,,Image 1,1,40,
Intensity Mean,1.86066,,Surface,6,,Image 1,1,40,
Intensity Median,0,,Surface,1,,Image 1,1,20,
Intensity Median,0,,Surface,2,,Image 1,1,20,
Intensity Median,57.984,,Surface,3,,Image 1,1,20,
Intensity Median,1.998,,Surface,4,,Image 1,1,20,
Intensity Median,0,,Surface,5,,Image 1,1,20,
Intensity Median,0,,Surface,6,,Image 1,1,20,
Intensity Median,0,,Surface,1,,Image 1,1,21,
Intensity Median,0,,Surface,2,,Image 1,1,21,
Intensity Median,59.504,,Surface,3,,Image 1,1,21,
Intensity Median,2.999,,Surface,4,,Image 1,1,21,
Intensity Median,0,,Surface,5,,Image 1,1,21,
Intensity Median,0,,Surface,6,,Image 1,1,21,
Intensity Median,0,,Surface,1,,Image 1,1,23,
Intensity Median,0,,Surface,2,,Image 1,1,23,
Intensity Median,49.99,,Surface,3,,Image 1,1,23,
Intensity Median,1.001,,Surface,4,,Image 1,1,23,
Intensity Median,0,,Surface,5,,Image 1,1,23,
Intensity Median,0,,Surface,6,,Image 1,1,23,
Intensity Median,0,,Surface,1,,Image 1,1,26,
Intensity Median,0,,Surface,2,,Image 1,1,26,
Intensity Median,30.996,,Surface,3,,Image 1,1,26,
Intensity Median,1.996,,Surface,4,,Image 1,1,26,
Intensity Median,0,,Surface,5,,Image 1,1,26,
Intensity Median,0,,Surface,6,,Image 1,1,26,
Intensity Median,0.0005,,Surface,1,,Image 1,1,30,
Intensity Median,0,,Surface,2,,Image 1,1,30,
Intensity Median,0.004,,Surface,3,,Image 1,1,30,
Intensity Median,0.996,,Surface,4,,Image 1,1,30,
Intensity Median,0.0005,,Surface,5,,Image 1,1,30,
Intensity Median,0,,Surface,6,,Image 1,1,30,
Intensity Median,0.002,,Surface,1,,Image 1,1,36,
Intensity Median,0.004,,Surface,2,,Image 1,1,36,
Intensity Median,2,,Surface,3,,Image 1,1,36,
Intensity Median,3,,Surface,4,,Image 1,1,36,
Intensity Median,0.002,,Surface,5,,Image 1,1,36,
Intensity Median,0.004,,Surface,6,,Image 1,1,36,
Intensity Median,0.032,,Surface,1,,Image 1,1,40,
Intensity Median,0.064,,Surface,2,,Image 1,1,40,
Intensity Median,1.984,,Surface,3,,Image 1,1,40,
Intensity Median,7.016,,Surface,4,,Image 1,1,40,
Intensity Median,0.032,,Surface,5,,Image 1,1,40,
Intensity Median,0.064,,Surface,6,,Image 1,1,40,
Intensity Min,0,,Surface,1,,Image 1,1,20,
Intensity Min,0,,Surface,2,,Image 1,1,20,
Intensity Min,41,,Surface,3,,Image 1,1,20,
Intensity Min,1,,Surface,4,,Image 1,1,20,
Intensity Min,0,,Surface,5,,Image 1,1,20,
Intensity Min,0,,Surface,6,,Image 1,1,20,
Intensity Min,0,,Surface,1,,Image 1,1,21,
Intensity Min,0,,Surface,2,,Image 1,1,21,
Intensity Min,45,,Surface,3,,Image 1,1,21,
Intensity Min,1,,Surface,4,,Image 1,1,21,
Intensity Min,0,,Surface,5,,Image 1,1,21,
Intensity Min,0,,Surface,6,,Image 1,1,21,
Intensity Min,0,,Surface,1,,Image 1,1,23,
Intensity Min,0,,Surface,2,,Image 1,1,23,
Intensity Min,37,,Surface,3,,Image 1,1,23,
Intensity Min,0,,Surface,4,,Image 1,1,23,
Intensity Min,0,,Surface,5,,Image 1,1,23,
Intensity Min,0,,Surface,6,,Image 1,1,23,
Intensity Min,0,,Surface,1,,Image 1,1,26,
Intensity Min,0,,Surface,2,,Image 1,1,26,
Intensity Min,25,,Surface,3,,Image 1,1,26,
Intensity Min,0,,Surface,4,,Image 1,1,26,
Intensity Min,0,,Surface,5,,Image 1,1,26,
Intensity Min,0,,Surface,6,,Image 1,1,26,
Intensity Min,0,,Surface,1,,Image 1,1,30,
Intensity Min,0,,Surface,2,,Image 1,1,30,
Intensity Min,0,,Surface,3,,Image 1,1,30,
Intensity Min,0,,Surface,4,,Image 1,1,30,
Intensity Min,0,,Surface,5,,Image 1,1,30,
Intensity Min,0,,Surface,6,,Image 1,1,30,
Intensity Min,0,,Surface,1,,Image 1,1,36,
Intensity Min,0,,Surface,2,,Image 1,1,36,
Intensity Min,0,,Surface,3,,Image 1,1,36,
Intensity Min,0,,Surface,4,,Image 1,1,36,
Intensity Min,0,,Surface,5,,Image 1,1,36,
Intensity Min,0,,Surface,6,,Image 1,1,36,
Intensity Min,0,,Surface,1,,Image 1,1,40,
Intensity Min,0,,Surface,2,,Image 1,1,40,
Intensity Min,0,,Surface,3,,Image 1,1,40,
Intensity Min,0,,Surface,4,,Image 1,1,40,
Intensity Min,0,,Surface,5,,Image 1,1,40,
Intensity Min,0,,Surface,6,,Image 1,1,40,
Intensity StdDev,0,,Surface,1,,Image 1,1,20,
Intensity StdDev,0,,Surface,2,,Image 1,1,20,
Intensity StdDev,8.09426,,Surface,3,,Image 1,1,20,
Intensity StdDev,0.948421,,Surface,4,,Image 1,1,20,
Intensity StdDev,0,,Surface,5,,Image 1,1,20,
Intensity StdDev,0,,Surface,6,,Image 1,1,20,
Intensity StdDev,0,,Surface,1,,Image 1,1,21,
Intensity StdDev,0.511346,,Surface,2,,Image 1,1,21,
Intensity StdDev,6.66642,,Surface,3,,Image 1,1,21,
Intensity StdDev,0.787746,,Surface,4,,Image 1,1,21,
Intensity StdDev,0,,Surface,5,,Image 1,1,21,
Intensity StdDev,0.511346,,Surface,6,,Image 1,1,21,
Intensity StdDev,0,,Surface,1,,Image 1,1,23,
Intensity StdDev,0,,Surface,2,,Image 1,1,23,
Intensity StdDev,5.15227,,Surface,3,,Image 1,1,23,
Intensity StdDev,0.878898,,Surface,4,,Image 1,1,23,
Intensity StdDev,0,,Surface,5,,Image 1,1,23,
Intensity StdDev,0,,Surface,6,,Image 1,1,23,
Intensity StdDev,0,,Surface,1,,Image 1,1,26,
Intensity StdDev,0,,Surface,2,,Image 1,1,26,
Intensity StdDev,3.89733,,Surface,3,,Image 1,1,26,
Intensity StdDev,1.87389,,Surface,4,,Image 1,1,26,
Intensity StdDev,0,,Surface,5,,Image 1,1,26,
Intensity StdDev,0,,Surface,6,,Image 1,1,26,
Intensity StdDev,0.180894,,Surface,1,,Image 1,1,30,
Intensity StdDev,0,,Surface,2,,Image 1,1,30,
Intensity StdDev,1.46934,,Surface,3,,Image 1,1,30,
Intensity StdDev,2.83069,,Surface,4,,Image 1,1,30,
Intensity StdDev,0.180894,,Surface,5,,Image 1,1,30,
Intensity StdDev,0,,Surface,6,,Image 1,1,30,
Intensity StdDev,0.137393,,Surface,1,,Image 1,1,36,
Intensity StdDev,0.414139,,Surface,2,,Image 1,1,36,
Intensity StdDev,5.33917,,Surface,3,,Image 1,1,36,
Intensity StdDev,3.53393,,Surface,4,,Image 1,1,36,
Intensity StdDev,0.137393,,Surface,5,,Image 1,1,36,
Intensity StdDev,0.414139,,Surface,6,,Image 1,1,36,
Intensity StdDev,4.17341,,Surface,1,,Image 1,1,40,
Intensity StdDev,5.68731,,Surface,2,,Image 1,1,40,
Intensity StdDev,11.7963,,Surface,3,,Image 1,1,40,
Intensity StdDev,13.8195,,Surface,4,,Image 1,1,40,
Intensity StdDev,4.17341,,Surface,5,,Image 1,1,40,
Intensity StdDev,5.68731,,Surface,6,,Image 1,1,40,
Intensity Sum,0,,Surface,1,,Image 1,1,20,
Intensity Sum,0,,Surface,2,,Image 1,1,20,
Intensity Sum,10319,,Surface,3,,Image 1,1,20,
Intensity Sum,363,,Surface,4,,Image 1,1,20,
Intensity Sum,0,,Surface,5,,Image 1,1,20,
Intensity Sum,0,,Surface,6,,Image 1,1,20,
Intensity Sum,0,,Surface,1,,Image 1,1,21,
Intensity Sum,18,,Surface,2,,Image 1,1,21,
Intensity Sum,7566,,Surface,3,,Image 1,1,21,
Intensity Sum,349,,Surface,4,,Image 1,1,21,
Intensity Sum,0,,Surface,5,,Image 1,1,21,
Intensity Sum,18,,Surface,6,,Image 1,1,21,
Intensity Sum,0,,Surface,1,,Image 1,1,23,
Intensity Sum,0,,Surface,2,,Image 1,1,23,
Intensity Sum,3182,,Surface,3,,Image 1,1,23,
Intensity Sum,102,,Surface,4,,Image 1,1,23,
Intensity Sum,0,,Surface,5,,Image 1,1,23,
Intensity Sum,0,,Surface,6,,Image 1,1,23,
Intensity Sum,0,,Surface,1,,Image 1,1,26,
Intensity Sum,0,,Surface,2,,Image 1,1,26,
Intensity Sum,2005,,Surface,3,,Image 1,1,26,
Intensity Sum,151,,Surface,4,,Image 1,1,26,
Intensity Sum,0,,Surface,5,,Image 1,1,26,
Intensity Sum,0,,Surface,6,,Image 1,1,26,
Intensity Sum,35,,Surface,1,,Image 1,1,30,
Intensity Sum,0,,Surface,2,,Image 1,1,30,
Intensity Sum,1378,,Surface,3,,Image 1,1,30,
Intensity Sum,3411,,Surface,4,,Image 1,1,30,
Intensity Sum,35,,Surface,5,,Image 1,1,30,
Intensity Sum,0,,Surface,6,,Image 1,1,30,
Intensity Sum,371,,Surface,1,,Image 1,1,36,
Intensity Sum,2452,,Surface,2,,Image 1,1,36,
Intensity Sum,141483,,Surface,3,,Image 1,1,36,
Intensity Sum,136353,,Surface,4,,Image 1,1,36,
Intensity Sum,371,,Surface,5,,Image 1,1,36,
Intensity Sum,2452,,Surface,6,,Image 1,1,36,
Intensity Sum,2.12536e+06,,Surface,1,,Image 1,1,40,
Intensity Sum,3.81145e+06,,Surface,2,,Image 1,1,40,
Intensity Sum,1.16688e+07,,Surface,3,,Image 1,1,40,
Intensity Sum,2.2313e+07,,Surface,4,,Image 1,1,40,
Intensity Sum,2.12536e+06,,Surface,5,,Image 1,1,40,
Intensity Sum,3.81145e+06,,Surface,6,,Image 1,1,40,
Number of Disconnected Components,1,,Surface,,,,1,20,
Number of Disconnected Components,1,,Surface,,,,1,21,
Number of Disconnected Components,1,,Surface,,,,1,23,
Number of Disconnected Components,1,,Surface,,,,1,26,
Number of Disconnected Components,1,,Surface,,,,1,30,
Number of Disconnected Components,1,,Surface,,,,1,36,
Number of Disconnected Components,5,,Surface,,,,1,40,
Position X,164.242,um,Surface,,Position,,1,20,
Position X,165.167,um,Surface,,Position,,1,21,
Position X,123.131,um,Surface,,Position,,1,23,
Position X,162.391,um,Surface,,Position,,1,26,
Position X,147.685,um,Surface,,Position,,1,30,
Position X,165.392,um,Surface,,Position,,1,36,
Position X,143.741,um,Surface,,Position,,1,40,
Position Y,147.88,um,Surface,,Position,,1,20,
Position Y,148.802,um,Surface,,Position,,1,21,
Position Y,148.802,um,Surface,,Position,,1,23,
Position Y,122.315,um,Surface,,Position,,1,26,
Position Y,148.687,um,Surface,,Position,,1,30,
Position Y,129.441,um,Surface,,Position,,1,36,
Position Y,128.797,um,Surface,,Position,,1,40,
Position Z,3.675,um,Surface,,Position,,1,20,
Position Z,3.6,um,Surface,,Position,,1,21,
Position Z,3.675,um,Surface,,Position,,1,23,
Position Z,3.675,um,Surface,,Position,,1,26,
Position Z,2.54375,um,Surface,,Position,,1,30,
Position Z,2.88697,um,Surface,,Position,,1,36,
Position Z,2.23452,um,Surface,,Position,,1,40,
Sphericity,0.264074,,Surface,,,,1,20,
Sphericity,0.646498,,Surface,,,,1,21,
Sphericity,0.62889,,Surface,,,,1,23,
Sphericity,0.635551,,Surface,,,,1,26,
Sphericity,0.891207,,Surface,,,,1,30,
Sphericity,0.779071,,Surface,,,,1,36,
Sphericity,0.28476,,Surface,,,,1,40,
Time,0,s,Surface,,,,1,20,
Time,0,s,Surface,,,,1,21,
Time,0,s,Surface,,,,1,23,
Time,0,s,Surface,,,,1,26,
Time,0,s,Surface,,,,1,30,
Time,0,s,Surface,,,,1,36,
Time,0,s,Surface,,,,1,40,
Time Index,1,,Surface,,,,1,20,
Time Index,1,,Surface,,,,1,21,
Time Index,1,,Surface,,,,1,23,
Time Index,1,,Surface,,,,1,26,
Time Index,1,,Surface,,,,1,30,
Time Index,1,,Surface,,,,1,36,
Time Index,1,,Surface,,,,1,40,
Volume,0.00333595,um^3,Surface,,,,1,20,
Volume,0.00273788,um^3,Surface,,,,1,21,
Volume,0.000478108,um^3,Surface,,,,1,23,
Volume,2.78002e-09,um^3,Surface,,,,1,26,
Volume,0.364797,um^3,Surface,,,,1,30,
Volume,13.2688,um^3,Surface,,,,1,36,
Volume,787.056,um^3,Surface,,,,1,40,
