
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,14.6117,um^2,Surface,,,,1,9,
Area,25.0185,um^2,Surface,,,,1,10,
Area,4.28992,um^2,Surface,,,,1,11,
Area,5.0622,um^2,Surface,,,,1,12,
Area,3.99974,um^2,Surface,,,,1,13,
Area,13.751,um^2,Surface,,,,1,14,
Distance from Origin,144.27,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,140.875,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,155.868,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,157.982,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,150.306,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,93.4465,um,Surface,,Distance from Origin,,1,14,
Distance to Image Border XY,45.2998,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,43.6581,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,41.4486,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,36.4689,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,46.0631,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,0,um,Surface,,,Image 1,1,14,
Ellipticity (oblate),0.316102,,Surface,,,,1,9,
Ellipticity (oblate),0.468781,,Surface,,,,1,10,
Ellipticity (oblate),0.426949,,Surface,,,,1,11,
Ellipticity (oblate),0.251595,,Surface,,,,1,12,
Ellipticity (oblate),0.447245,,Surface,,,,1,13,
Ellipticity (oblate),0.407926,,Surface,,,,1,14,
Ellipticity (prolate),0.55226,,Surface,,,,1,9,
Ellipticity (prolate),0.210864,,Surface,,,,1,10,
Ellipticity (prolate),0.283611,,Surface,,,,1,11,
Ellipticity (prolate),0.587208,,Surface,,,,1,12,
Ellipticity (prolate),0.277901,,Surface,,,,1,13,
Ellipticity (prolate),0.447357,,Surface,,,,1,14,
Generation,0,,Surface,,,,1,9,
Generation,0,,Surface,,,,1,10,
Generation,0,,Surface,,,,1,11,
Generation,0,,Surface,,,,1,12,
Generation,0,,Surface,,,,1,13,
Generation,0,,Surface,,,,1,14,
Intensity Max,11,,Surface,1,,Image 1,1,9,
Intensity Max,178,,Surface,2,,Image 1,1,9,
Intensity Max,74,,Surface,3,,Image 1,1,9,
Intensity Max,43,,Surface,4,,Image 1,1,9,
Intensity Max,11,,Surface,5,,Image 1,1,9,
Intensity Max,18,,Surface,1,,Image 1,1,10,
Intensity Max,255,,Surface,2,,Image 1,1,10,
Intensity Max,81,,Surface,3,,Image 1,1,10,
Intensity Max,59,,Surface,4,,Image 1,1,10,
Intensity Max,18,,Surface,5,,Image 1,1,10,
Intensity Max,1,,Surface,1,,Image 1,1,11,
Intensity Max,64,,Surface,2,,Image 1,1,11,
Intensity Max,7,,Surface,3,,Image 1,1,11,
Intensity Max,34,,Surface,4,,Image 1,1,11,
Intensity Max,1,,Surface,5,,Image 1,1,11,
Intensity Max,35,,Surface,1,,Image 1,1,12,
Intensity Max,55,,Surface,2,,Image 1,1,12,
Intensity Max,21,,Surface,3,,Image 1,1,12,
Intensity Max,133,,Surface,4,,Image 1,1,12,
Intensity Max,35,,Surface,5,,Image 1,1,12,
Intensity Max,22,,Surface,1,,Image 1,1,13,
Intensity Max,82,,Surface,2,,Image 1,1,13,
Intensity Max,17,,Surface,3,,Image 1,1,13,
Intensity Max,62,,Surface,4,,Image 1,1,13,
Intensity Max,22,,Surface,5,,Image 1,1,13,
Intensity Max,9,,Surface,1,,Image 1,1,14,
Intensity Max,93,,Surface,2,,Image 1,1,14,
Intensity Max,37,,Surface,3,,Image 1,1,14,
Intensity Max,43,,Surface,4,,Image 1,1,14,
Intensity Max,9,,Surface,5,,Image 1,1,14,
Intensity Mean,0.411732,,Surface,1,,Image 1,1,9,
