
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,10.9869,um^2,Surface,,,,1,0,
Area,0.210756,um^2,Surface,,,,1,1,
Area,0.730756,um^2,Surface,,,,1,2,
Area,0.0906773,um^2,Surface,,,,1,3,
Area,1.82299,um^2,Surface,,,,1,4,
Contact surface area,0.105,um,Surface,,,,,0,
Contact surface area,0.38,um,Surface,,,,,1,
Contact surface area,0.045,um,Surface,,,,,2,
Contact surface area,0.955,um,Surface,,,,,3,
Contact surface area,6.0525,um,Surface,,,,,4,
Distance from Origin,131.706,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,110.355,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,110.397,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,110.085,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,109.859,um,Surface,,Distance from Origin,,1,4,
Distance to Image Border XY,58.1365,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,39.3571,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,38.7651,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,38.7833,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,38.713,um,Surface,,,Image 1,1,4,
Ellipticity (oblate),0.326042,,Surface,,,,1,0,
Ellipticity (oblate),0.480188,,Surface,,,,1,1,
Ellipticity (oblate),0.557018,,Surface,,,,1,2,
Ellipticity (oblate),0.546408,,Surface,,,,1,3,
Ellipticity (oblate),0.691522,,Surface,,,,1,4,
Ellipticity (prolate),0.568919,,Surface,,,,1,0,
Ellipticity (prolate),0.369062,,Surface,,,,1,1,
Ellipticity (prolate),0.249164,,Surface,,,,1,2,
Ellipticity (prolate),0.309538,,Surface,,,,1,3,
Ellipticity (prolate),0.076359,,Surface,,,,1,4,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,4,
Intensity Max,56,,Surface,1,,Image 1,1,0,
Intensity Max,60,,Surface,2,,Image 1,1,0,
Intensity Max,11,,Surface,3,,Image 1,1,0,
Intensity Max,27,,Surface,4,,Image 1,1,0,
Intensity Max,15,,Surface,1,,Image 1,1,1,
Intensity Max,3,,Surface,2,,Image 1,1,1,
Intensity Max,2,,Surface,3,,Image 1,1,1,
Intensity Max,4,,Surface,4,,Image 1,1,1,
Intensity Max,14,,Surface,1,,Image 1,1,2,
Intensity Max,11,,Surface,2,,Image 1,1,2,
Intensity Max,1,,Surface,3,,Image 1,1,2,
Intensity Max,8,,Surface,4,,Image 1,1,2,
Intensity Max,2,,Surface,1,,Image 1,1,3,
Intensity Max,5,,Surface,2,,Image 1,1,3,
Intensity Max,5,,Surface,3,,Image 1,1,3,
Intensity Max,2,,Surface,4,,Image 1,1,3,
Intensity Max,24,,Surface,1,,Image 1,1,4,
Intensity Max,16,,Surface,2,,Image 1,1,4,
Intensity Max,7,,Surface,3,,Image 1,1,4,
Intensity Max,16,,Surface,4,,Image 1,1,4,
Intensity Mean,10.1392,,Surface,1,,Image 1,1,0,
Intensity Mean,30.7117,,Surface,2,,Image 1,1,0,
Intensity Mean,1.64849,,Surface,3,,Image 1,1,0,
Intensity Mean,10.1884,,Surface,4,,Image 1,1,0,
Intensity Mean,3.90476,,Surface,1,,Image 1,1,1,
Intensity Mean,0.833333,,Surface,2,,Image 1,1,1,
Intensity Mean,0.452381,,Surface,3,,Image 1,1,1,
Intensity Mean,0.571429,,Surface,4,,Image 1,1,1,
Intensity Mean,3.51974,,Surface,1,,Image 1,1,2,
Intensity Mean,4.69079,,Surface,2,,Image 1,1,2,
Intensity Mean,0.0592105,,Surface,3,,Image 1,1,2,
Intensity Mean,3.03947,,Surface,4,,Image 1,1,2,
Intensity Mean,0.388889,,Surface,1,,Image 1,1,3,
Intensity Mean,3.05556,,Surface,2,,Image 1,1,3,
Intensity Mean,2.16667,,Surface,3,,Image 1,1,3,
Intensity Mean,1.44444,,Surface,4,,Image 1,1,3,
Intensity Mean,1.0445,,Surface,1,,Image 1,1,4,
Intensity Mean,7.95288,,Surface,2,,Image 1,1,4,
Intensity Mean,1.10995,,Surface,3,,Image 1,1,4,
Intensity Mean,4.98691,,Surface,4,,Image 1,1,4,
Intensity Median,7.992,,Surface,1,,Image 1,1,0,
Intensity Median,30.992,,Surface,2,,Image 1,1,0,
Intensity Median,0.996,,Surface,3,,Image 1,1,0,
Intensity Median,10,,Surface,4,,Image 1,1,0,
Intensity Median,2.496,,Surface,1,,Image 1,1,1,
Intensity Median,0.999,,Surface,2,,Image 1,1,1,
Intensity Median,0.0005,,Surface,3,,Image 1,1,1,
Intensity Median,0.001,,Surface,4,,Image 1,1,1,
Intensity Median,2,,Surface,1,,Image 1,1,2,
Intensity Median,4.008,,Surface,2,,Image 1,1,2,
Intensity Median,0.00025,,Surface,3,,Image 1,1,2,
Intensity Median,3.004,,Surface,4,,Image 1,1,2,
Intensity Median,0.0005,,Surface,1,,Image 1,1,3,
Intensity Median,2.998,,Surface,2,,Image 1,1,3,
Intensity Median,2.498,,Surface,3,,Image 1,1,3,
Intensity Median,1.4995,,Surface,4,,Image 1,1,3,
Intensity Median,0.008,,Surface,1,,Image 1,1,4,
Intensity Median,7.992,,Surface,2,,Image 1,1,4,
Intensity Median,0,,Surface,3,,Image 1,1,4,
Intensity Median,4.992,,Surface,4,,Image 1,1,4,
Intensity Min,0,,Surface,1,,Image 1,1,0,
Intensity Min,5,,Surface,2,,Image 1,1,0,
Intensity Min,0,,Surface,3,,Image 1,1,0,
Intensity Min,0,,Surface,4,,Image 1,1,0,
Intensity Min,0,,Surface,1,,Image 1,1,1,
Intensity Min,0,,Surface,2,,Image 1,1,1,
Intensity Min,0,,Surface,3,,Image 1,1,1,
Intensity Min,0,,Surface,4,,Image 1,1,1,
Intensity Min,0,,Surface,1,,Image 1,1,2,
Intensity Min,0,,Surface,2,,Image 1,1,2,
Intensity Min,0,,Surface,3,,Image 1,1,2,
Intensity Min,0,,Surface,4,,Image 1,1,2,
Intensity Min,0,,Surface,1,,Image 1,1,3,
Intensity Min,1,,Surface,2,,Image 1,1,3,
Intensity Min,0,,Surface,3,,Image 1,1,3,
Intensity Min,0,,Surface,4,,Image 1,1,3,
Intensity Min,0,,Surface,1,,Image 1,1,4,
Intensity Min,1,,Surface,2,,Image 1,1,4,
Intensity Min,0,,Surface,3,,Image 1,1,4,
Intensity Min,0,,Surface,4,,Image 1,1,4,
Intensity StdDev,7.83225,,Surface,1,,Image 1,1,0,
Intensity StdDev,12.8815,,Surface,2,,Image 1,1,0,
Intensity StdDev,1.87704,,Surface,3,,Image 1,1,0,
Intensity StdDev,5.40771,,Surface,4,,Image 1,1,0,
Intensity StdDev,3.59768,,Surface,1,,Image 1,1,1,
Intensity StdDev,0.78427,,Surface,2,,Image 1,1,1,
Intensity StdDev,0.585637,,Surface,3,,Image 1,1,1,
Intensity StdDev,0.954759,,Surface,4,,Image 1,1,1,
Intensity StdDev,3.63638,,Surface,1,,Image 1,1,2,
Intensity StdDev,2.66861,,Surface,2,,Image 1,1,2,
Intensity StdDev,0.236018,,Surface,3,,Image 1,1,2,
Intensity StdDev,2.2061,,Surface,4,,Image 1,1,2,
Intensity StdDev,0.755637,,Surface,1,,Image 1,1,3,
Intensity StdDev,1.07869,,Surface,2,,Image 1,1,3,
Intensity StdDev,1.67498,,Surface,3,,Image 1,1,3,
Intensity StdDev,0.598352,,Surface,4,,Image 1,1,3,
Intensity StdDev,2.62102,,Surface,1,,Image 1,1,4,
Intensity StdDev,2.92451,,Surface,2,,Image 1,1,4,
Intensity StdDev,1.63196,,Surface,3,,Image 1,1,4,
Intensity StdDev,3.37023,,Surface,4,,Image 1,1,4,
Intensity Sum,24547,,Surface,1,,Image 1,1,0,
Intensity Sum,74353,,Surface,2,,Image 1,1,0,
Intensity Sum,3991,,Surface,3,,Image 1,1,0,
Intensity Sum,24666,,Surface,4,,Image 1,1,0,
Intensity Sum,164,,Surface,1,,Image 1,1,1,
Intensity Sum,35,,Surface,2,,Image 1,1,1,
Intensity Sum,19,,Surface,3,,Image 1,1,1,
Intensity Sum,24,,Surface,4,,Image 1,1,1,
Intensity Sum,535,,Surface,1,,Image 1,1,2,
Intensity Sum,713,,Surface,2,,Image 1,1,2,
Intensity Sum,9,,Surface,3,,Image 1,1,2,
Intensity Sum,462,,Surface,4,,Image 1,1,2,
Intensity Sum,7,,Surface,1,,Image 1,1,3,
Intensity Sum,55,,Surface,2,,Image 1,1,3,
Intensity Sum,39,,Surface,3,,Image 1,1,3,
Intensity Sum,26,,Surface,4,,Image 1,1,3,
Intensity Sum,399,,Surface,1,,Image 1,1,4,
Intensity Sum,3038,,Surface,2,,Image 1,1,4,
Intensity Sum,424,,Surface,3,,Image 1,1,4,
Intensity Sum,1905,,Surface,4,,Image 1,1,4,
Number of Disconnected Components,1,,Surface,,,,1,0,
Number of Disconnected Components,1,,Surface,,,,1,1,
Number of Disconnected Components,1,,Surface,,,,1,2,
Number of Disconnected Components,1,,Surface,,,,1,3,
Number of Disconnected Components,1,,Surface,,,,1,4,
Position X,98.5206,um,Surface,,Position,,1,0,
Position X,87.2822,um,Surface,,Position,,1,1,
Position X,87.7066,um,Surface,,Position,,1,2,
Position X,87.3917,um,Surface,,Position,,1,3,
Position X,87.0516,um,Surface,,Position,,1,4,
Position Y,86.9615,um,Surface,,Position,,1,0,
Position Y,67.4821,um,Surface,,Position,,1,1,
Position Y,66.9901,um,Surface,,Position,,1,2,
Position Y,66.9083,um,Surface,,Position,,1,3,
Position Y,66.963,um,Surface,,Position,,1,4,
Position Z,8.82905,um,Surface,,Position,,1,0,
Position Z,2.49286,um,Surface,,Position,,1,1,
Position Z,2.70461,um,Surface,,Position,,1,2,
Position Z,2.18333,um,Surface,,Position,,1,3,
Position Z,2.64869,um,Surface,,Position,,1,4,
Sphericity,0.177734,,Surface,,,,1,0,
Sphericity,0.593994,,Surface,,,,1,1,
Sphericity,0.411293,,Surface,,,,1,2,
Sphericity,0.742164,,Surface,,,,1,3,
Sphericity,0.304919,,Surface,,,,1,4,
Time,0,s,Surface,,,,1,0,
Time,0,s,Surface,,,,1,1,
Time,0,s,Surface,,,,1,2,
Time,0,s,Surface,,,,1,3,
Time,0,s,Surface,,,,1,4,
Time Index,1,,Surface,,,,1,0,
Time Index,1,,Surface,,,,1,1,
Time Index,1,,Surface,,,,1,2,
Time Index,1,,Surface,,,,1,3,
Time Index,1,,Surface,,,,1,4,
Volume,0.256591,um^3,Surface,,,,1,0,
Volume,0.004165,um^3,Surface,,,,1,1,
Volume,0.0154939,um^3,Surface,,,,1,2,
Volume,0.00164161,um^3,Surface,,,,1,3,
Volume,0.0389697,um^3,Surface,,,,1,4,
