
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,11.5581,um^2,Surface,,,,1,49,
Area,5.55911,um^2,Surface,,,,1,50,
Area,6.97974,um^2,Surface,,,,1,51,
Area,5.93478,um^2,Surface,,,,1,52,
Area,4.44715,um^2,Surface,,,,1,53,
Area,5.98045,um^2,Surface,,,,1,54,
Area,297.153,um^2,Surface,,,,1,56,
Area,36.3221,um^2,Surface,,,,1,57,
Area,52.5049,um^2,Surface,,,,1,58,
Distance from Origin,148.482,um,Surface,,Distance from Origin,,1,49,
Distance from Origin,156.815,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,142.766,um,Surface,,Distance from Origin,,1,51,
Distance from Origin,140.724,um,Surface,,Distance from Origin,,1,52,
Distance from Origin,155.375,um,Surface,,Distance from Origin,,1,53,
Distance from Origin,146.295,um,Surface,,Distance from Origin,,1,54,
Distance from Origin,147.502,um,Surface,,Distance from Origin,,1,56,
Distance from Origin,138.572,um,Surface,,Distance from Origin,,1,57,
Distance from Origin,147.754,um,Surface,,Distance from Origin,,1,58,
Distance to Image Border XY,33.5729,um,Surface,,,Image 1,1,49,
Distance to Image Border XY,15.5052,um,Surface,,,Image 1,1,50,
Distance to Image Border XY,21.2558,um,Surface,,,Image 1,1,51,
Distance to Image Border XY,20.1695,um,Surface,,,Image 1,1,52,
Distance to Image Border XY,29.2291,um,Surface,,,Image 1,1,53,
Distance to Image Border XY,22.5149,um,Surface,,,Image 1,1,54,
Distance to Image Border XY,25.6188,um,Surface,,,Image 1,1,56,
Distance to Image Border XY,18.5997,um,Surface,,,Image 1,1,57,
Distance to Image Border XY,27.5013,um,Surface,,,Image 1,1,58,
Ellipticity (oblate),0.292754,,Surface,,,,1,49,
Ellipticity (oblate),0.228264,,Surface,,,,1,50,
Ellipticity (oblate),0.262908,,Surface,,,,1,51,
Ellipticity (oblate),0.52122,,Surface,,,,1,52,
Ellipticity (oblate),0.28268,,Surface,,,,1,53,
Ellipticity (oblate),0.440902,,Surface,,,,1,54,
Ellipticity (oblate),0.363945,,Surface,,,,1,56,
Ellipticity (oblate),0.373976,,Surface,,,,1,57,
Ellipticity (oblate),0.66798,,Surface,,,,1,58,
Ellipticity (prolate),0.629998,,Surface,,,,1,49,
Ellipticity (prolate),0.754979,,Surface,,,,1,50,
Ellipticity (prolate),0.704987,,Surface,,,,1,51,
Ellipticity (prolate),0.334337,,Surface,,,,1,52,
Ellipticity (prolate),0.666103,,Surface,,,,1,53,
Ellipticity (prolate),0.422411,,Surface,,,,1,54,
Ellipticity (prolate),0.520318,,Surface,,,,1,56,
Ellipticity (prolate),0.282343,,Surface,,,,1,57,
Ellipticity (prolate),0.171171,,Surface,,,,1,58,
Generation,0,,Surface,,,,1,49,
Generation,0,,Surface,,,,1,50,
Generation,0,,Surface,,,,1,51,
Generation,0,,Surface,,,,1,52,
Generation,0,,Surface,,,,1,53,
Generation,0,,Surface,,,,1,54,
