
Detailed
 ==================== 
Variable,Value,Unit,Category,Collection,Depth,Distance,Level,Radius,Time,Type,FilamentID,ID,
Dendrite Area,10.2661,um^2,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Area,3.42469,um^2,Dendrite,,2,,2,,1,,100000000,510000000020,
Dendrite Area,25.1805,um^2,Dendrite,,3,,3,,1,,100000000,510000000023,
Dendrite Area,25.5203,um^2,Dendrite,,4,,3,,1,,100000000,510000000065,
Dendrite Area,12.2487,um^2,Dendrite,,1,,2,,1,,100000000,510000000134,
Dendrite Area,5.6051,um^2,Dendrite,,2,,2,,1,,100000000,510000000158,
Dendrite Area,24.1807,um^2,Dendrite,,3,,2,,1,,100000000,510000000165,
Dendrite Area,3.45865,um^2,Dendrite,,4,,3,,1,,100000000,510000000196,
Dendrite Area,36.441,um^2,Dendrite,,5,,3,,1,,100000000,510000000204,
Dendrite Area,1.81115,um^2,Dendrite,,6,,3,,1,,100000000,510000000282,
Dendrite Area,7.3286,um^2,Dendrite,,6,,4,,1,,100000000,510000000287,
Dendrite Area,7.36848,um^2,Dendrite,,1,,2,,1,,100000000,510000000307,
Dendrite Area,19.6954,um^2,Dendrite,,2,,2,,1,,100000000,510000000320,
Dendrite Area,8.47028,um^2,Dendrite,,3,,2,,1,,100000000,510000000344,
Dendrite Area,11.6127,um^2,Dendrite,,4,,2,,1,,100000000,510000000351,
Dendrite Area,13.8819,um^2,Dendrite,,5,,2,,1,,100000000,510000000369,
Dendrite Area,0.730904,um^2,Dendrite,,6,,2,,1,,100000000,510000000400,
Dendrite Area,4.20371,um^2,Dendrite,,7,,3,,1,,100000000,510000000402,
Dendrite Area,23.1988,um^2,Dendrite,,2,,3,,1,,100000000,510000000412,
Dendrite Area,31.2767,um^2,Dendrite,,3,,3,,1,,100000000,510000000452,
Dendrite Area,27.2886,um^2,Dendrite,,4,,4,,1,,100000000,510000000503,
Dendrite Area,30.6882,um^2,Dendrite,,1,,1,,1,,100000000,510000000577,
Dendrite Area,23.1408,um^2,Dendrite,,2,,2,,1,,100000000,510000000618,
Dendrite Area,43.6911,um^2,Dendrite,,3,,3,,1,,100000000,510000000678,
Dendrite Area,23.6777,um^2,Dendrite,,4,,3,,1,,100000000,510000000750,
Dendrite Area,5.99597,um^2,Dendrite,,3,,2,,1,,100000000,510000000813,
Dendrite Area,32.1244,um^2,Dendrite,,4,,2,,1,,100000000,510000000816,
Dendrite Area,13.929,um^2,Dendrite,,6,,3,,1,,100000000,510000000880,
Dendrite Area,10.9589,um^2,Dendrite,,4,,4,,1,,100000000,510000000913,
Dendrite Area,14.9083,um^2,Dendrite,,7,,2,,1,,100000000,510000000964,
Dendrite Area,12.2,um^2,Dendrite,,4,,3,,1,,100000000,510000001043,
Dendrite Area,11.7492,um^2,Dendrite,,5,,3,,1,,100000000,510000001067,
Dendrite Area,8.07827,um^2,Dendrite,,5,,4,,1,,100000000,510000001098,
Dendrite Area,23.7595,um^2,Dendrite,,4,,3,,1,,100000000,510000001122,
Dendrite Area,8.33077,um^2,Dendrite,,4,,2,,1,,100000000,510000001164,
Dendrite Area,15.2839,um^2,Dendrite,,5,,2,,1,,100000000,510000001182,
Dendrite Area,20.9034,um^2,Dendrite,,3,,3,,1,,100000000,510000001223,
Dendrite Area,2.21802,um^2,Dendrite,,2,,3,,1,,100000000,510000001259,
Dendrite Area,14.0594,um^2,Dendrite,,3,,3,,1,,100000000,510000001265,
Dendrite Area,6.95571,um^2,Dendrite,,5,,3,,1,,100000000,510000001298,
Dendrite Area,9.96264,um^2,Dendrite,,4,,4,,1,,100000000,510000001317,
Dendrite Area,37.9083,um^2,Dendrite,,2,,3,,1,,100000000,510000001344,
Dendrite Area,22.1143,um^2,Dendrite,,3,,4,,1,,100000000,510000001406,
Dendrite Area,27.7879,um^2,Dendrite,,4,,3,,1,,100000000,510000001460,
Dendrite Area,6.99757,um^2,Dendrite,,5,,4,,1,,100000000,510000001518,
Dendrite Area,19.7554,um^2,Dendrite,,2,,1,,1,,100000000,510000001534,
Dendrite Area,6.58701,um^2,Dendrite,,5,,3,,1,,100000000,510000001585,
Dendrite Area,11.7455,um^2,Dendrite,,3,,4,,1,,100000000,510000001602,
Dendrite Area,0.558384,um^2,Dendrite,,0,,1,,1,,100000000,510000001838,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000020,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000000023,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000065,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000000,510000000134,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000158,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000165,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000196,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000000,510000000204,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000000,510000000282,
Dendrite Branch Depth,6,,Dendrite,,6,,4,,1,,100000000,510000000287,
Dendrite Branch Depth,1,,Dendrite,,1,,2,,1,,100000000,510000000307,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000320,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000344,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000000351,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000000,510000000369,
Dendrite Branch Depth,6,,Dendrite,,6,,2,,1,,100000000,510000000400,
Dendrite Branch Depth,7,,Dendrite,,7,,3,,1,,100000000,510000000402,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000000,510000000412,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000000452,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000000,510000000503,
Dendrite Branch Depth,1,,Dendrite,,1,,1,,1,,100000000,510000000577,
Dendrite Branch Depth,2,,Dendrite,,2,,2,,1,,100000000,510000000618,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000000678,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000000750,
Dendrite Branch Depth,3,,Dendrite,,3,,2,,1,,100000000,510000000813,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000000816,
Dendrite Branch Depth,6,,Dendrite,,6,,3,,1,,100000000,510000000880,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000000,510000000913,
Dendrite Branch Depth,7,,Dendrite,,7,,2,,1,,100000000,510000000964,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000001043,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000000,510000001067,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000000,510000001098,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000001122,
Dendrite Branch Depth,4,,Dendrite,,4,,2,,1,,100000000,510000001164,
Dendrite Branch Depth,5,,Dendrite,,5,,2,,1,,100000000,510000001182,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000001223,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000000,510000001259,
Dendrite Branch Depth,3,,Dendrite,,3,,3,,1,,100000000,510000001265,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000000,510000001298,
Dendrite Branch Depth,4,,Dendrite,,4,,4,,1,,100000000,510000001317,
Dendrite Branch Depth,2,,Dendrite,,2,,3,,1,,100000000,510000001344,
Dendrite Branch Depth,3,,Dendrite,,3,,4,,1,,100000000,510000001406,
Dendrite Branch Depth,4,,Dendrite,,4,,3,,1,,100000000,510000001460,
Dendrite Branch Depth,5,,Dendrite,,5,,4,,1,,100000000,510000001518,
Dendrite Branch Depth,2,,Dendrite,,2,,1,,1,,100000000,510000001534,
Dendrite Branch Depth,5,,Dendrite,,5,,3,,1,,100000000,510000001585,
Dendrite Branch Depth,3,,Dendrite,,3,,4,,1,,100000000,510000001602,
Dendrite Branch Depth,0,,Dendrite,,0,,1,,1,,100000000,510000001838,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000000,510000000002,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000000,510000000020,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000000,510000000023,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000000,510000000065,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000000,510000000134,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000000,510000000158,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000000,510000000165,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000000,510000000196,
Dendrite Branch Level,3,,Dendrite,,5,,3,,1,,100000000,510000000204,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000000,510000000282,
Dendrite Branch Level,4,,Dendrite,,6,,4,,1,,100000000,510000000287,
Dendrite Branch Level,2,,Dendrite,,1,,2,,1,,100000000,510000000307,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000000,510000000320,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000000,510000000344,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000000,510000000351,
Dendrite Branch Level,2,,Dendrite,,5,,2,,1,,100000000,510000000369,
Dendrite Branch Level,2,,Dendrite,,6,,2,,1,,100000000,510000000400,
Dendrite Branch Level,3,,Dendrite,,7,,3,,1,,100000000,510000000402,
Dendrite Branch Level,3,,Dendrite,,2,,3,,1,,100000000,510000000412,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000000,510000000452,
Dendrite Branch Level,4,,Dendrite,,4,,4,,1,,100000000,510000000503,
Dendrite Branch Level,1,,Dendrite,,1,,1,,1,,100000000,510000000577,
Dendrite Branch Level,2,,Dendrite,,2,,2,,1,,100000000,510000000618,
Dendrite Branch Level,3,,Dendrite,,3,,3,,1,,100000000,510000000678,
Dendrite Branch Level,3,,Dendrite,,4,,3,,1,,100000000,510000000750,
Dendrite Branch Level,2,,Dendrite,,3,,2,,1,,100000000,510000000813,
Dendrite Branch Level,2,,Dendrite,,4,,2,,1,,100000000,510000000816,
Dendrite Branch Level,3,,Dendrite,,6,,3,,1,,100000000,510000000880,
Dendrite Branch Level,4,,Dendrite,,4,,4,,1,,100000000,510000000913,
Dendrite Branch Level,2,,Dendrite,,7,,2,,1,,100000000,510000000964,
