
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,8.22845,um^2,Surface,,,,1,33,
Area,3.39418,um^2,Surface,,,,1,34,
Area,5.31622,um^2,Surface,,,,1,35,
Area,37.8763,um^2,Surface,,,,1,36,
Area,16.5066,um^2,Surface,,,,1,37,
Area,27.5455,um^2,Surface,,,,1,46,
Area,2.57243,um^2,Surface,,,,1,47,
Area,4.4516,um^2,Surface,,,,1,48,
Distance from Origin,150.035,um,Surface,,Distance from Origin,,1,33,
Distance from Origin,146.094,um,Surface,,Distance from Origin,,1,34,
Distance from Origin,140.651,um,Surface,,Distance from Origin,,1,35,
Distance from Origin,155.855,um,Surface,,Distance from Origin,,1,36,
Distance from Origin,147.892,um,Surface,,Distance from Origin,,1,37,
Distance from Origin,136.806,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,121.973,um,Surface,,Distance from Origin,,1,47,
Distance from Origin,131.133,um,Surface,,Distance from Origin,,1,48,
Distance to Image Border XY,44.5793,um,Surface,,,Image 1,1,33,
Distance to Image Border XY,48.3394,um,Surface,,,Image 1,1,34,
Distance to Image Border XY,51.1117,um,Surface,,,Image 1,1,35,
Distance to Image Border XY,36.7264,um,Surface,,,Image 1,1,36,
Distance to Image Border XY,49.5677,um,Surface,,,Image 1,1,37,
Distance to Image Border XY,49.6639,um,Surface,,,Image 1,1,46,
Distance to Image Border XY,44.6351,um,Surface,,,Image 1,1,47,
Distance to Image Border XY,48.5438,um,Surface,,,Image 1,1,48,
Ellipticity (oblate),0.301731,,Surface,,,,1,33,
Ellipticity (oblate),0.431107,,Surface,,,,1,34,
Ellipticity (oblate),0.388697,,Surface,,,,1,35,
Ellipticity (oblate),0.231279,,Surface,,,,1,36,
Ellipticity (oblate),0.371406,,Surface,,,,1,37,
Ellipticity (oblate),0.174481,,Surface,,,,1,46,
Ellipticity (oblate),0.28347,,Surface,,,,1,47,
Ellipticity (oblate),0.278929,,Surface,,,,1,48,
Ellipticity (prolate),0.484638,,Surface,,,,1,33,
Ellipticity (prolate),0.358783,,Surface,,,,1,34,
Ellipticity (prolate),0.443312,,Surface,,,,1,35,
Ellipticity (prolate),0.776236,,Surface,,,,1,36,
Ellipticity (prolate),0.336091,,Surface,,,,1,37,
Ellipticity (prolate),0.531132,,Surface,,,,1,46,
Ellipticity (prolate),0.573991,,Surface,,,,1,47,
Ellipticity (prolate),0.675751,,Surface,,,,1,48,
Generation,0,,Surface,,,,1,33,
Generation,0,,Surface,,,,1,34,
Generation,0,,Surface,,,,1,35,
Generation,0,,Surface,,,,1,36,
Generation,0,,Surface,,,,1,37,
Generation,0,,Surface,,,,1,46,
Generation,0,,Surface,,,,1,47,
Generation,0,,Surface,,,,1,48,
Intensity Max,37,,Surface,1,,Image 1,1,33,
Intensity Max,47,,Surface,2,,Image 1,1,33,
Intensity Max,6,,Surface,3,,Image 1,1,33,
Intensity Max,19,,Surface,4,,Image 1,1,33,
Intensity Max,37,,Surface,5,,Image 1,1,33,
Intensity Max,47,,Surface,1,,Image 1,1,34,
Intensity Max,32,,Surface,2,,Image 1,1,34,
Intensity Max,10,,Surface,3,,Image 1,1,34,
Intensity Max,17,,Surface,4,,Image 1,1,34,
Intensity Max,47,,Surface,5,,Image 1,1,34,
Intensity Max,1,,Surface,1,,Image 1,1,35,
Intensity Max,29,,Surface,2,,Image 1,1,35,
Intensity Max,6,,Surface,3,,Image 1,1,35,
Intensity Max,9,,Surface,4,,Image 1,1,35,
Intensity Max,1,,Surface,5,,Image 1,1,35,
Intensity Max,52,,Surface,1,,Image 1,1,36,
Intensity Max,134,,Surface,2,,Image 1,1,36,
Intensity Max,12,,Surface,3,,Image 1,1,36,
Intensity Max,20,,Surface,4,,Image 1,1,36,
Intensity Max,52,,Surface,5,,Image 1,1,36,
Intensity Max,67,,Surface,1,,Image 1,1,37,
Intensity Max,83,,Surface,2,,Image 1,1,37,
Intensity Max,40,,Surface,3,,Image 1,1,37,
Intensity Max,19,,Surface,4,,Image 1,1,37,
Intensity Max,67,,Surface,5,,Image 1,1,37,
Intensity Max,86,,Surface,1,,Image 1,1,46,
Intensity Max,58,,Surface,2,,Image 1,1,46,
Intensity Max,10,,Surface,3,,Image 1,1,46,
Intensity Max,43,,Surface,4,,Image 1,1,46,
Intensity Max,86,,Surface,5,,Image 1,1,46,
Intensity Max,90,,Surface,1,,Image 1,1,47,
Intensity Max,34,,Surface,2,,Image 1,1,47,
Intensity Max,6,,Surface,3,,Image 1,1,47,
Intensity Max,35,,Surface,4,,Image 1,1,47,
Intensity Max,90,,Surface,5,,Image 1,1,47,
Intensity Max,26,,Surface,1,,Image 1,1,48,
Intensity Max,23,,Surface,2,,Image 1,1,48,
Intensity Max,8,,Surface,3,,Image 1,1,48,
Intensity Max,29,,Surface,4,,Image 1,1,48,
Intensity Max,26,,Surface,5,,Image 1,1,48,
Intensity Mean,3.93525,,Surface,1,,Image 1,1,33,
Intensity Mean,10.6092,,Surface,2,,Image 1,1,33,
Intensity Mean,0.0940315,,Surface,3,,Image 1,1,33,
Intensity Mean,5.46528,,Surface,4,,Image 1,1,33,
Intensity Mean,3.85173,,Surface,5,,Image 1,1,33,
Intensity Mean,6.30357,,Surface,1,,Image 1,1,34,
Intensity Mean,8.125,,Surface,2,,Image 1,1,34,
