
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,6.76119,um^2,Surface,,,,1,8,
Area,0.768771,um^2,Surface,,,,1,9,
Area,3.57936,um^2,Surface,,,,1,10,
Area,1.35223,um^2,Surface,,,,1,11,
Area,6.80743,um^2,Surface,,,,1,12,
Area,0.629842,um^2,Surface,,,,1,13,
Area,13.3166,um^2,Surface,,,,1,14,
Area,19.8947,um^2,Surface,,,,1,15,
Distance from Origin,131.683,um,Surface,,Distance from Origin,,1,8,
Distance from Origin,130.414,um,Surface,,Distance from Origin,,1,9,
Distance from Origin,134.752,um,Surface,,Distance from Origin,,1,10,
Distance from Origin,130.937,um,Surface,,Distance from Origin,,1,11,
Distance from Origin,132.926,um,Surface,,Distance from Origin,,1,12,
Distance from Origin,131.941,um,Surface,,Distance from Origin,,1,13,
Distance from Origin,137.945,um,Surface,,Distance from Origin,,1,14,
Distance from Origin,139.583,um,Surface,,Distance from Origin,,1,15,
Distance to Image Border XY,51.5052,um,Surface,,,Image 1,1,8,
Distance to Image Border XY,28.5592,um,Surface,,,Image 1,1,9,
Distance to Image Border XY,30.0574,um,Surface,,,Image 1,1,10,
Distance to Image Border XY,41.9861,um,Surface,,,Image 1,1,11,
Distance to Image Border XY,30.3776,um,Surface,,,Image 1,1,12,
Distance to Image Border XY,25.1137,um,Surface,,,Image 1,1,13,
Distance to Image Border XY,25.143,um,Surface,,,Image 1,1,14,
Distance to Image Border XY,21.633,um,Surface,,,Image 1,1,15,
Ellipticity (oblate),0.288991,,Surface,,,,1,8,
Ellipticity (oblate),0.331974,,Surface,,,,1,9,
Ellipticity (oblate),0.380593,,Surface,,,,1,10,
Ellipticity (oblate),0.214385,,Surface,,,,1,11,
Ellipticity (oblate),0.431539,,Surface,,,,1,12,
Ellipticity (oblate),0.267431,,Surface,,,,1,13,
Ellipticity (oblate),0.313909,,Surface,,,,1,14,
Ellipticity (oblate),0.299237,,Surface,,,,1,15,
Ellipticity (prolate),0.655522,,Surface,,,,1,8,
Ellipticity (prolate),0.557786,,Surface,,,,1,9,
Ellipticity (prolate),0.324113,,Surface,,,,1,10,
Ellipticity (prolate),0.137258,,Surface,,,,1,11,
Ellipticity (prolate),0.437839,,Surface,,,,1,12,
Ellipticity (prolate),0.243802,,Surface,,,,1,13,
Ellipticity (prolate),0.560414,,Surface,,,,1,14,
Ellipticity (prolate),0.634281,,Surface,,,,1,15,
Generation,0,,Surface,,,,1,8,
Generation,0,,Surface,,,,1,9,
Generation,0,,Surface,,,,1,10,
Generation,0,,Surface,,,,1,11,
Generation,0,,Surface,,,,1,12,
Generation,0,,Surface,,,,1,13,
Generation,0,,Surface,,,,1,14,
Generation,0,,Surface,,,,1,15,
Intensity Max,2,,Surface,1,,Image 1,1,8,
Intensity Max,13,,Surface,2,,Image 1,1,8,
Intensity Max,8,,Surface,3,,Image 1,1,8,
Intensity Max,11,,Surface,4,,Image 1,1,8,
Intensity Max,2,,Surface,5,,Image 1,1,8,
Intensity Max,13,,Surface,6,,Image 1,1,8,
Intensity Max,0,,Surface,1,,Image 1,1,9,
Intensity Max,10,,Surface,2,,Image 1,1,9,
Intensity Max,3,,Surface,3,,Image 1,1,9,
Intensity Max,12,,Surface,4,,Image 1,1,9,
Intensity Max,0,,Surface,5,,Image 1,1,9,
Intensity Max,10,,Surface,6,,Image 1,1,9,
Intensity Max,5,,Surface,1,,Image 1,1,10,
Intensity Max,19,,Surface,2,,Image 1,1,10,
Intensity Max,8,,Surface,3,,Image 1,1,10,
Intensity Max,14,,Surface,4,,Image 1,1,10,
Intensity Max,5,,Surface,5,,Image 1,1,10,
Intensity Max,19,,Surface,6,,Image 1,1,10,
Intensity Max,1,,Surface,1,,Image 1,1,11,
Intensity Max,14,,Surface,2,,Image 1,1,11,
Intensity Max,4,,Surface,3,,Image 1,1,11,
Intensity Max,16,,Surface,4,,Image 1,1,11,
Intensity Max,1,,Surface,5,,Image 1,1,11,
Intensity Max,14,,Surface,6,,Image 1,1,11,
Intensity Max,3,,Surface,1,,Image 1,1,12,
Intensity Max,16,,Surface,2,,Image 1,1,12,
Intensity Max,13,,Surface,3,,Image 1,1,12,
Intensity Max,17,,Surface,4,,Image 1,1,12,
Intensity Max,3,,Surface,5,,Image 1,1,12,
Intensity Max,16,,Surface,6,,Image 1,1,12,
Intensity Max,4,,Surface,1,,Image 1,1,13,
Intensity Max,8,,Surface,2,,Image 1,1,13,
Intensity Max,4,,Surface,3,,Image 1,1,13,
Intensity Max,28,,Surface,4,,Image 1,1,13,
Intensity Max,4,,Surface,5,,Image 1,1,13,
Intensity Max,8,,Surface,6,,Image 1,1,13,
Intensity Max,6,,Surface,1,,Image 1,1,14,
Intensity Max,21,,Surface,2,,Image 1,1,14,
Intensity Max,14,,Surface,3,,Image 1,1,14,
Intensity Max,32,,Surface,4,,Image 1,1,14,
Intensity Max,6,,Surface,5,,Image 1,1,14,
Intensity Max,21,,Surface,6,,Image 1,1,14,
Intensity Max,9,,Surface,1,,Image 1,1,15,
Intensity Max,19,,Surface,2,,Image 1,1,15,
Intensity Max,10,,Surface,3,,Image 1,1,15,
Intensity Max,46,,Surface,4,,Image 1,1,15,
Intensity Max,9,,Surface,5,,Image 1,1,15,
Intensity Max,19,,Surface,6,,Image 1,1,15,
Intensity Mean,0.0184896,,Surface,1,,Image 1,1,8,
Intensity Mean,2.11146,,Surface,2,,Image 1,1,8,
Intensity Mean,0.819792,,Surface,3,,Image 1,1,8,
Intensity Mean,3.06016,,Surface,4,,Image 1,1,8,
Intensity Mean,0.0184896,,Surface,5,,Image 1,1,8,
Intensity Mean,2.10859,,Surface,6,,Image 1,1,8,
Intensity Mean,0,,Surface,1,,Image 1,1,9,
Intensity Mean,4.33036,,Surface,2,,Image 1,1,9,
Intensity Mean,0.558036,,Surface,3,,Image 1,1,9,
Intensity Mean,8.15179,,Surface,4,,Image 1,1,9,
Intensity Mean,0,,Surface,5,,Image 1,1,9,
Intensity Mean,4.33036,,Surface,6,,Image 1,1,9,
Intensity Mean,0.0691748,,Surface,1,,Image 1,1,10,
Intensity Mean,1.97512,,Surface,2,,Image 1,1,10,
Intensity Mean,3.0716,,Surface,3,,Image 1,1,10,
Intensity Mean,5.71359,,Surface,4,,Image 1,1,10,
Intensity Mean,0.0691748,,Surface,5,,Image 1,1,10,
Intensity Mean,1.97512,,Surface,6,,Image 1,1,10,
Intensity Mean,0.0192308,,Surface,1,,Image 1,1,11,
Intensity Mean,3.45673,,Surface,2,,Image 1,1,11,
Intensity Mean,0.663462,,Surface,3,,Image 1,1,11,
Intensity Mean,8.15385,,Surface,4,,Image 1,1,11,
Intensity Mean,0.0192308,,Surface,5,,Image 1,1,11,
Intensity Mean,3.35817,,Surface,6,,Image 1,1,11,
Intensity Mean,0.0199093,,Surface,1,,Image 1,1,12,
Intensity Mean,2.20867,,Surface,2,,Image 1,1,12,
Intensity Mean,2.77923,,Surface,3,,Image 1,1,12,
Intensity Mean,6.26789,,Surface,4,,Image 1,1,12,
Intensity Mean,0.0199093,,Surface,5,,Image 1,1,12,
Intensity Mean,2.17061,,Surface,6,,Image 1,1,12,
Intensity Mean,0.1875,,Surface,1,,Image 1,1,13,
Intensity Mean,3.7375,,Surface,2,,Image 1,1,13,
Intensity Mean,1.975,,Surface,3,,Image 1,1,13,
Intensity Mean,10.25,,Surface,4,,Image 1,1,13,
