
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,2.88106,um^2,Surface,,,,1,0,
Area,3.85356,um^2,Surface,,,,1,1,
Area,5.92923,um^2,Surface,,,,1,2,
Area,0.0330928,um^2,Surface,,,,1,3,
Area,5.04022,um^2,Surface,,,,1,4,
Area,6.15724,um^2,Surface,,,,1,5,
Area,11.0094,um^2,Surface,,,,1,6,
Area,6.90946,um^2,Surface,,,,1,7,
Contact surface area,4,um,Surface,,,,,0,
Contact surface area,0.015,um,Surface,,,,,1,
Contact surface area,6.365,um,Surface,,,,,2,
Contact surface area,3.5225,um,Surface,,,,,3,
Contact surface area,2.2075,um,Surface,,,,,4,
Contact surface area,3.405,um,Surface,,,,,5,
Contact surface area,2.7775,um,Surface,,,,,6,
Contact surface area,1.5975,um,Surface,,,,,7,
Distance from Origin,154.278,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,148.322,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,148.095,um,Surface,,Distance from Origin,,1,2,
Distance from Origin,149.994,um,Surface,,Distance from Origin,,1,3,
Distance from Origin,150.389,um,Surface,,Distance from Origin,,1,4,
Distance from Origin,143.746,um,Surface,,Distance from Origin,,1,5,
Distance from Origin,143.969,um,Surface,,Distance from Origin,,1,6,
Distance from Origin,151.302,um,Surface,,Distance from Origin,,1,7,
Distance to Image Border XY,56.4921,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,67.7893,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,69.0156,um,Surface,,,Image 1,1,2,
Distance to Image Border XY,65.275,um,Surface,,,Image 1,1,3,
Distance to Image Border XY,64.3399,um,Surface,,,Image 1,1,4,
Distance to Image Border XY,56.5046,um,Surface,,,Image 1,1,5,
Distance to Image Border XY,64.5775,um,Surface,,,Image 1,1,6,
Distance to Image Border XY,62.1234,um,Surface,,,Image 1,1,7,
Ellipticity (oblate),0.370237,,Surface,,,,1,0,
Ellipticity (oblate),0.414594,,Surface,,,,1,1,
Ellipticity (oblate),0.548745,,Surface,,,,1,2,
Ellipticity (oblate),0.527985,,Surface,,,,1,3,
Ellipticity (oblate),0.260962,,Surface,,,,1,4,
Ellipticity (oblate),0.422176,,Surface,,,,1,5,
Ellipticity (oblate),0.355508,,Surface,,,,1,6,
Ellipticity (oblate),0.331458,,Surface,,,,1,7,
Ellipticity (prolate),0.395048,,Surface,,,,1,0,
Ellipticity (prolate),0.35245,,Surface,,,,1,1,
Ellipticity (prolate),0.30134,,Surface,,,,1,2,
Ellipticity (prolate),0.247648,,Surface,,,,1,3,
Ellipticity (prolate),0.712692,,Surface,,,,1,4,
Ellipticity (prolate),0.419801,,Surface,,,,1,5,
Ellipticity (prolate),0.539812,,Surface,,,,1,6,
Ellipticity (prolate),0.552019,,Surface,,,,1,7,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,3,
Generation,0,,Surface,,,,1,4,
Generation,0,,Surface,,,,1,5,
Generation,0,,Surface,,,,1,6,
Generation,0,,Surface,,,,1,7,
Intensity Max,136,,Surface,1,,Image 1,1,0,
Intensity Max,12,,Surface,2,,Image 1,1,0,
Intensity Max,81,,Surface,3,,Image 1,1,0,
Intensity Max,4,,Surface,4,,Image 1,1,0,
Intensity Max,149,,Surface,1,,Image 1,1,1,
Intensity Max,15,,Surface,2,,Image 1,1,1,
Intensity Max,59,,Surface,3,,Image 1,1,1,
Intensity Max,2,,Surface,4,,Image 1,1,1,
Intensity Max,185,,Surface,1,,Image 1,1,2,
Intensity Max,25,,Surface,2,,Image 1,1,2,
