Detailed,,,,,,,,
 ==================== ,,,,,,,,
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID
Area,0.050637,um^2,Surface,,,,1,0
Area,1.64137,um^2,Surface,,,,1,1
Area,1.26421,um^2,Surface,,,,1,2
Area,0.454386,um^2,Surface,,,,1,3
Area,0.493928,um^2,Surface,,,,1,4
Area,0.00486866,um^2,Surface,,,,1,5
Area,0.00663778,um^2,Surface,,,,1,6
Area,0.0506345,um^2,Surface,,,,1,7
Area,12.3035,um^2,Surface,,,,1,8
Area,0.155387,um^2,Surface,,,,1,9
Area,1.27719,um^2,Surface,,,,1,10
Area,2.66118,um^2,Surface,,,,1,11
Area,13.8561,um^2,Surface,,,,1,12
Contact surface area,0.0875,um,Surface,,,,,0
Contact surface area,0.73,um,Surface,,,,,1
Contact surface area,1.53,um,Surface,,,,,2
Contact surface area,0.2575,um,Surface,,,,,3
Contact surface area,0.2725,um,Surface,,,,,4
Contact surface area,0.025,um,Surface,,,,,5
Contact surface area,0.0075,um,Surface,,,,,6
Contact surface area,0.0075,um,Surface,,,,,7
Contact surface area,8.0475,um,Surface,,,,,8
Contact surface area,0.025,um,Surface,,,,,9
Contact surface area,7.0625,um,Surface,,,,,10
Contact surface area,0.965,um,Surface,,,,,11
Contact surface area,0.71,um,Surface,,,,,12
Distance from Origin,137.251,um,Surface,,Distance from Origin,,1,0
Distance from Origin,133.292,um,Surface,,Distance from Origin,,1,1
Distance from Origin,134.957,um,Surface,,Distance from Origin,,1,2
Distance from Origin,131.906,um,Surface,,Distance from Origin,,1,3
Distance from Origin,131.113,um,Surface,,Distance from Origin,,1,4
Distance from Origin,140.267,um,Surface,,Distance from Origin,,1,5
Distance from Origin,140.092,um,Surface,,Distance from Origin,,1,6
Distance from Origin,138.651,um,Surface,,Distance from Origin,,1,7
Distance from Origin,137.871,um,Surface,,Distance from Origin,,1,8
Distance from Origin,140.683,um,Surface,,Distance from Origin,,1,9
Distance from Origin,140.242,um,Surface,,Distance from Origin,,1,10
Distance from Origin,139.394,um,Surface,,Distance from Origin,,1,11
Distance from Origin,139.771,um,Surface,,Distance from Origin,,1,12
Distance to Image Border XY,25.18,um,Surface,,,Image 1,1,0
Distance to Image Border XY,31.242,um,Surface,,,Image 1,1,1
Distance to Image Border XY,30.3648,um,Surface,,,Image 1,1,2
Distance to Image Border XY,25.1813,um,Surface,,,Image 1,1,3
Distance to Image Border XY,27.3415,um,Surface,,,Image 1,1,4
Distance to Image Border XY,22.075,um,Surface,,,Image 1,1,5
Distance to Image Border XY,22.2667,um,Surface,,,Image 1,1,6
Distance to Image Border XY,24.88,um,Surface,,,Image 1,1,7
Distance to Image Border XY,24.8648,um,Surface,,,Image 1,1,8
Distance to Image Border XY,21.275,um,Surface,,,Image 1,1,9
Distance to Image Border XY,21.6443,um,Surface,,,Image 1,1,10
Distance to Image Border XY,22.485,um,Surface,,,Image 1,1,11
Distance to Image Border XY,21.406,um,Surface,,,Image 1,1,12
Ellipticity (oblate),0.381973,,Surface,,,,1,0
Ellipticity (oblate),0.742837,,Surface,,,,1,1
Ellipticity (oblate),0.59194,,Surface,,,,1,2
Ellipticity (oblate),0.780337,,Surface,,,,1,3
Ellipticity (oblate),0.51404,,Surface,,,,1,4
Ellipticity (oblate),0.133014,,Surface,,,,1,5
Ellipticity (oblate),0.47586,,Surface,,,,1,6
Ellipticity (oblate),0.381965,,Surface,,,,1,7
Ellipticity (oblate),0.360562,,Surface,,,,1,8
Ellipticity (oblate),0.263172,,Surface,,,,1,9
Ellipticity (oblate),0.70621,,Surface,,,,1,10
Ellipticity (oblate),0.409995,,Surface,,,,1,11
Ellipticity (oblate),0.241844,,Surface,,,,1,12
Ellipticity (prolate),0.475222,,Surface,,,,1,0
Ellipticity (prolate),0.105036,,Surface,,,,1,1
Ellipticity (prolate),0.205316,,Surface,,,,1,2
Ellipticity (prolate),0.143296,,Surface,,,,1,3
Ellipticity (prolate),0.165003,,Surface,,,,1,4
Ellipticity (prolate),0.913823,,Surface,,,,1,5
Ellipticity (prolate),0.371592,,Surface,,,,1,6
Ellipticity (prolate),0.475255,,Surface,,,,1,7
Ellipticity (prolate),0.532872,,Surface,,,,1,8
Ellipticity (prolate),0.0972963,,Surface,,,,1,9
Ellipticity (prolate),0.184423,,Surface,,,,1,10
Ellipticity (prolate),0.405664,,Surface,,,,1,11
Ellipticity (prolate),0.607244,,Surface,,,,1,12
Generation,0,,Surface,,,,1,0
Generation,0,,Surface,,,,1,1
Generation,0,,Surface,,,,1,2
Generation,0,,Surface,,,,1,3
Generation,0,,Surface,,,,1,4
Generation,0,,Surface,,,,1,5
Generation,0,,Surface,,,,1,6
Generation,0,,Surface,,,,1,7
Generation,0,,Surface,,,,1,8
Generation,0,,Surface,,,,1,9
Generation,0,,Surface,,,,1,10
Generation,0,,Surface,,,,1,11
Generation,0,,Surface,,,,1,12
Intensity Max,0,,Surface,1,,Image 1,1,0
Intensity Max,0,,Surface,2,,Image 1,1,0
Intensity Max,4,,Surface,3,,Image 1,1,0
Intensity Max,10,,Surface,4,,Image 1,1,0
Intensity Max,0,,Surface,5,,Image 1,1,0
Intensity Max,0,,Surface,6,,Image 1,1,0
Intensity Max,1,,Surface,1,,Image 1,1,1
Intensity Max,8,,Surface,2,,Image 1,1,1
Intensity Max,7,,Surface,3,,Image 1,1,1
Intensity Max,13,,Surface,4,,Image 1,1,1
