Table S4 - Mouse RNA-seq data,,,,,,,,,,,,,,,,,,,,,
,Mouse_RNA_24hr_Rep1,Mouse_RNA_24hr_Rep2,Mouse_RNA_24hr_Rep3,Mouse_RNA_6hr_Rep1,Mouse_RNA_6hr_Rep2,Mouse_RNA_7day_Rep1,Mouse_RNA_7day_Rep2,Mouse_RNA_7day_Rep3,Mouse_RNA_7day_Rep4,Mouse_RNA_7day_Rep5,Mouse_RNA_7day_TGFB_1,Mouse_RNA_7day_TGFB_2,Mouse_RNA_ExVivo_Rep1,Mouse_RNA_ExVivo_Rep2,Mouse_RNA_ExVivo_Rep3,Mouse_RNA_ExVivo_Rep4,Mouse_RNA_ExVivo_Rep5,Mouse_RNA_Lysate_Rep1,Mouse_RNA_Lysate_Rep2,Mouse_RNA_Lysate_Rep3,Mouse_RNA_Lysate_Rep4
0610005C13Rik,2,2,3,3,7,2,5,4,7,0,7,3,56,32,33,20,32,7,8,14,6
0610007P14Rik,263,331,288,22,47,542,753,716,461,440,379,498,215,205,262,124,143,427,563,274,301
0610009B22Rik,107,137,137,21,18,201,298,307,228,182,230,287,160,138,245,79,88,213,309,97,96
0610009L18Rik,16,32,22,18,14,5,46,55,26,20,10,14,36,9,34,11,17,32,69,36,24
0610009O20Rik,637,653,647,399,357,1168,1350,1441,994,932,799,922,1678,1088,1725,968,1492,694,1005,498,621
0610010B08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610010F05Rik,1262,1009,1258,1033,622,1101,1091,790,926,900,553,908,292,318,264,151,200,837,1165,539,551
0610010K14Rik,466,630,467,271,272,396,766,749,444,422,456,511,1058,470,1188,366,628,363,514,205,234
0610012G03Rik,316,443,386,141,161,949,1280,1194,1032,851,791,928,278,157,414,89,207,772,1116,413,436
0610030E20Rik,2204,2229,2194,1506,1325,1748,1541,1475,1488,1640,1198,1194,1231,1638,2236,926,1253,478,602,263,348
0610031O16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0610037L13Rik,447,508,498,472,344,352,590,544,327,339,323,362,800,531,1018,401,612,549,692,218,248
0610038B21Rik,81,109,117,90,99,107,75,72,125,60,22,69,1,1,1,0,0,36,48,16,27
0610039H22Rik,0,3,6,0,3,1,0,0,0,0,2,0,10,6,1,4,1,0,0,0,1
0610039K10Rik,241,109,115,442,160,805,361,458,442,432,686,1270,2934,535,1712,863,995,43,42,16,12
0610040B10Rik,4,0,10,1,3,2,8,7,1,2,0,6,3,5,15,2,0,9,16,8,15
0610040F04Rik,45,33,50,1,5,13,26,15,6,16,71,78,0,0,1,0,2,114,126,55,71
0610040J01Rik,326,424,349,384,287,506,536,597,427,519,1025,1065,2721,1956,3271,1518,2382,83,104,40,49
0610043K17Rik,2,1,0,0,0,2,3,4,3,4,0,1,1,3,2,4,0,12,9,1,2
1010001N08Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110002J07Rik,80,106,90,62,56,110,97,54,83,37,2,20,6,4,6,7,1,10,17,5,22
1110002L01Rik,283,326,278,93,104,388,327,311,399,361,326,375,199,170,296,171,152,1130,1502,720,919
1110004E09Rik,73,74,73,8,20,144,269,252,141,108,100,157,80,29,83,24,52,445,674,185,201
1110004F10Rik,771,890,726,717,617,1239,1587,1266,1111,949,645,1067,558,515,649,362,332,819,1273,509,479
1110006O24Rik,11,15,11,3,2,20,18,20,17,20,7,18,25,22,66,15,17,0,17,5,16
1110008F13Rik,1533,1846,1566,1616,1260,3165,4205,3841,3137,2963,1893,2410,736,401,796,427,579,807,1071,378,528
1110008L16Rik,156,175,188,52,42,268,208,187,231,217,175,225,202,155,201,137,136,101,135,73,96
1110008P14Rik,163,182,125,14,13,612,643,628,622,592,277,399,22,16,32,2,25,2007,3425,782,1976
1110012L19Rik,112,90,117,17,26,117,222,227,128,115,118,142,85,71,128,30,63,116,132,57,45
1110015O18Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,8,1
1110017D15Rik,12,12,10,16,15,8,8,5,6,16,11,12,2,0,5,4,0,36,37,17,12
1110019D14Rik,33,33,35,5,5,116,79,67,131,145,86,74,103,69,99,30,60,47,44,13,11
1110020A21Rik,5,4,0,0,0,12,11,8,11,4,4,9,0,1,4,1,2,25,26,6,6
1110025L11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110028F11Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1
1110028F18Rik,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0
1110032A03Rik,60,49,63,11,10,166,213,262,169,136,233,172,206,147,255,102,145,445,537,231,284
1110032F04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,418,166,343
1110034G24Rik,141,147,115,8,30,157,155,181,131,108,98,136,225,156,297,123,141,127,139,49,73
1110036E04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110037F02Rik,2346,2204,2253,1986,1606,2328,2152,1965,1996,1949,1763,2422,1468,1387,1509,977,1342,1060,1214,644,626
1110038B12Rik,211,274,280,511,622,239,523,461,267,164,221,281,82,77,146,69,107,132,141,53,58
1110038F14Rik,197,245,260,129,116,281,411,336,277,247,174,266,227,133,322,103,151,238,373,112,144
1110046J04Rik,2,2,1,0,1,8,11,8,7,9,1,2,5,0,2,0,0,62,59,16,22
1110051M20Rik,1303,1249,1163,1153,935,1414,1517,1474,1273,1141,1163,1473,1494,856,1670,1265,1308,1431,2048,817,812
1110058D11Rik,2,4,1,0,1,0,0,0,2,0,0,4,0,0,0,0,2,1,1,0,0
1110059E24Rik,192,162,145,87,67,236,389,326,244,172,183,238,241,185,251,99,118,186,312,126,140
1110059G10Rik,143,166,184,55,57,256,403,419,246,251,247,275,251,245,355,33,91,144,255,86,126
1110065P20Rik,127,147,130,45,56,133,212,238,153,131,172,263,76,66,128,24,88,639,884,300,362
1190002N15Rik,589,586,600,242,208,1261,1186,1037,1093,1111,1064,1030,686,679,698,343,343,929,922,502,743
1190003K10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1190005I06Rik,15,8,9,2,2,32,25,20,25,19,25,21,0,1,0,0,0,89,146,58,57
1190007I07Rik,24,54,54,3,3,65,144,131,60,47,44,83,63,55,97,31,50,64,114,49,63
1300002E11Rik,121,161,106,24,14,95,208,189,122,79,60,75,239,335,394,161,173,125,170,67,75
1300017J02Rik,2,1,0,1,0,0,0,0,0,0,0,0,3,0,0,2,1,2,2,4,8
1500004A13Rik,124,134,157,55,57,132,98,98,98,93,153,189,144,162,171,190,179,345,412,149,139
1500009C09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,3,34,6,1,1327,2016,766,734
1500009L16Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,142,185,110,84
1500011B03Rik,114,113,106,32,34,240,305,302,282,243,135,180,96,81,176,61,79,1390,2026,846,967
1500011K16Rik,74,61,67,22,22,245,536,521,376,239,262,362,80,48,146,13,26,329,489,126,171
1500012K07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,49,22,15
1500015A07Rik,102,68,85,33,36,65,90,115,53,47,60,51,26,34,73,21,19,78,133,59,53
1500015L24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,6,2
1500015O10Rik,4,3,5,2,2,2,1,0,1,0,0,0,3,0,24,1,1,35,48,97,13
1500017E21Rik,66,50,70,42,15,31,125,127,50,35,68,105,18,60,41,19,13,226,285,128,166
1500026H17Rik,0,1,1,0,0,5,4,5,6,1,5,1,4,4,2,0,0,63,59,24,21
1600002D24Rik,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1600002H07Rik,194,261,208,60,44,179,243,175,158,154,115,290,146,97,229,99,105,158,187,94,147
1600002K03Rik,49,77,85,10,17,158,219,198,169,142,137,151,67,35,111,27,38,82,94,18,26
1600010M07Rik,145,151,144,33,26,143,170,87,154,80,110,159,62,46,82,16,67,0,1,0,0
1600012H06Rik,1665,1583,1449,1179,1012,1468,1420,1495,1381,1294,1079,1211,770,1058,1428,377,469,363,548,248,271
1600014C10Rik,255,209,196,107,57,528,745,818,281,316,2270,1969,1071,1043,1455,965,983,501,714,297,368
1600014C23Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
1600015I10Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1600019K03Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600020E01Rik,70,76,109,86,105,46,56,68,64,74,67,52,189,168,230,92,166,75,111,46,32
1600023N17Rik,4,5,1,3,1,0,4,6,4,5,4,3,0,1,3,0,1,6,7,3,9
1600025M17Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600027J07Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1600029I14Rik,0,1,0,6,0,0,0,0,0,1,0,0,6,0,0,0,1,3,2,2,0
1600029O15Rik,1,1,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,36,28,28,10
1700001C02Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1
1700001C19Rik,0,0,5,1,0,14,21,18,6,0,34,30,45,33,33,45,31,3,1,4,0
1700001D01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700001F09Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G01Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700001G11Rik,2,8,0,2,1,1,5,8,0,5,4,5,7,0,5,12,10,9,9,4,3
1700001G17Rik,1,1,0,0,0,2,0,2,6,0,1,3,12,2,4,6,1,12,5,4,2
1700001J03Rik,16,14,13,7,11,1,10,10,2,7,1,0,4,3,7,9,1,0,3,1,2
1700001J11Rik,0,1,0,4,0,1,2,0,3,0,0,0,0,0,0,0,1,0,0,0,0
1700001K19Rik,12,14,10,2,6,71,27,30,63,82,15,22,19,8,13,10,15,40,35,15,18
1700001K23Rik,0,1,2,2,1,1,3,0,1,1,1,0,6,5,4,1,3,1,1,1,2
1700001L05Rik,276,254,263,365,386,112,187,151,85,110,101,116,177,172,167,123,161,119,214,130,123
1700001L19Rik,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,281,376,128,88
1700001O22Rik,0,1,0,2,0,0,2,2,4,6,2,5,1,1,0,0,0,80,171,29,120
1700001P01Rik,6,5,1,10,11,0,0,0,0,3,7,0,4,0,1,0,1,2,4,3,3
1700003C15Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003D09Rik,0,0,0,0,0,0,0,1,1,0,0,0,0,3,13,1,2,345,811,153,135
1700003E16Rik,3,1,0,1,0,3,3,8,4,1,2,4,5,1,8,3,1,501,760,344,394
1700003E24Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003F12Rik,5,6,5,0,2,12,79,102,14,22,29,29,14,6,28,3,3,20,46,12,38
1700003G13Rik,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003G18Rik,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
1700003H04Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003I22Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003L19Rik,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1700003M07Rik,0,0,0,0,0,0,1,1,0,0,0,0,0,5,19,0,0,337,356,204,260
