
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,6.2291,um^2,Surface,,,,1,61,
Area,10.3739,um^2,Surface,,,,1,62,
Area,13.4647,um^2,Surface,,,,1,63,
Area,15.3239,um^2,Surface,,,,1,64,
Distance from Origin,154.851,um,Surface,,Distance from Origin,,1,61,
Distance from Origin,143.536,um,Surface,,Distance from Origin,,1,62,
Distance from Origin,125.587,um,Surface,,Distance from Origin,,1,63,
Distance from Origin,135.242,um,Surface,,Distance from Origin,,1,64,
Distance to Image Border XY,49.522,um,Surface,,,Image 1,1,61,
Distance to Image Border XY,66.7952,um,Surface,,,Image 1,1,62,
Distance to Image Border XY,61.8681,um,Surface,,,Image 1,1,63,
Distance to Image Border XY,65.8912,um,Surface,,,Image 1,1,64,
Ellipticity (oblate),0.315309,,Surface,,,,1,61,
Ellipticity (oblate),0.299103,,Surface,,,,1,62,
Ellipticity (oblate),0.295832,,Surface,,,,1,63,
Ellipticity (oblate),0.328374,,Surface,,,,1,64,
Ellipticity (prolate),0.337354,,Surface,,,,1,61,
Ellipticity (prolate),0.58131,,Surface,,,,1,62,
Ellipticity (prolate),0.310292,,Surface,,,,1,63,
Ellipticity (prolate),0.508484,,Surface,,,,1,64,
Generation,0,,Surface,,,,1,61,
Generation,0,,Surface,,,,1,62,
Generation,0,,Surface,,,,1,63,
Generation,0,,Surface,,,,1,64,
Intensity Max,19,,Surface,1,,Image 1,1,61,
Intensity Max,128,,Surface,2,,Image 1,1,61,
Intensity Max,19,,Surface,3,,Image 1,1,61,
Intensity Max,31,,Surface,4,,Image 1,1,61,
Intensity Max,19,,Surface,5,,Image 1,1,61,
Intensity Max,8,,Surface,1,,Image 1,1,62,
Intensity Max,69,,Surface,2,,Image 1,1,62,
Intensity Max,53,,Surface,3,,Image 1,1,62,
Intensity Max,36,,Surface,4,,Image 1,1,62,
Intensity Max,8,,Surface,5,,Image 1,1,62,
Intensity Max,39,,Surface,1,,Image 1,1,63,
Intensity Max,96,,Surface,2,,Image 1,1,63,
Intensity Max,28,,Surface,3,,Image 1,1,63,
Intensity Max,75,,Surface,4,,Image 1,1,63,
Intensity Max,39,,Surface,5,,Image 1,1,63,
Intensity Max,23,,Surface,1,,Image 1,1,64,
Intensity Max,105,,Surface,2,,Image 1,1,64,
Intensity Max,47,,Surface,3,,Image 1,1,64,
Intensity Max,57,,Surface,4,,Image 1,1,64,
Intensity Max,23,,Surface,5,,Image 1,1,64,
Intensity Mean,0.915504,,Surface,1,,Image 1,1,61,
Intensity Mean,20.6411,,Surface,2,,Image 1,1,61,
Intensity Mean,0.699839,,Surface,3,,Image 1,1,61,
Intensity Mean,7.48042,,Surface,4,,Image 1,1,61,
Intensity Mean,0.915504,,Surface,5,,Image 1,1,61,
Intensity Mean,0.441176,,Surface,1,,Image 1,1,62,
Intensity Mean,20.1593,,Surface,2,,Image 1,1,62,
Intensity Mean,9.7131,,Surface,3,,Image 1,1,62,
Intensity Mean,11.0235,,Surface,4,,Image 1,1,62,
Intensity Mean,0.434874,,Surface,5,,Image 1,1,62,
Intensity Mean,1.56675,,Surface,1,,Image 1,1,63,
Intensity Mean,24.1898,,Surface,2,,Image 1,1,63,
Intensity Mean,3.62943,,Surface,3,,Image 1,1,63,
Intensity Mean,13.7981,,Surface,4,,Image 1,1,63,
Intensity Mean,1.56431,,Surface,5,,Image 1,1,63,
Intensity Mean,0.663673,,Surface,1,,Image 1,1,64,
Intensity Mean,30.138,,Surface,2,,Image 1,1,64,
Intensity Mean,3.20739,,Surface,3,,Image 1,1,64,
Intensity Mean,17.5396,,Surface,4,,Image 1,1,64,
Intensity Mean,0.663227,,Surface,5,,Image 1,1,64,
Intensity Median,0.008,,Surface,1,,Image 1,1,61,
Intensity Median,11.032,,Surface,2,,Image 1,1,61,
Intensity Median,0.008,,Surface,3,,Image 1,1,61,
Intensity Median,5.992,,Surface,4,,Image 1,1,61,
Intensity Median,0.008,,Surface,5,,Image 1,1,61,
Intensity Median,0.002,,Surface,1,,Image 1,1,62,
Intensity Median,17.992,,Surface,2,,Image 1,1,62,
Intensity Median,7,,Surface,3,,Image 1,1,62,
Intensity Median,9.984,,Surface,4,,Image 1,1,62,
Intensity Median,0.002,,Surface,5,,Image 1,1,62,
Intensity Median,0.016,,Surface,1,,Image 1,1,63,
Intensity Median,19.992,,Surface,2,,Image 1,1,63,
Intensity Median,2,,Surface,3,,Image 1,1,63,
Intensity Median,11.992,,Surface,4,,Image 1,1,63,
Intensity Median,0.016,,Surface,5,,Image 1,1,63,
Intensity Median,0.008,,Surface,1,,Image 1,1,64,
Intensity Median,26.968,,Surface,2,,Image 1,1,64,
Intensity Median,2,,Surface,3,,Image 1,1,64,
Intensity Median,14.976,,Surface,4,,Image 1,1,64,
Intensity Median,0.008,,Surface,5,,Image 1,1,64,
Intensity Min,0,,Surface,1,,Image 1,1,61,
Intensity Min,0,,Surface,2,,Image 1,1,61,
Intensity Min,0,,Surface,3,,Image 1,1,61,
Intensity Min,0,,Surface,4,,Image 1,1,61,
Intensity Min,0,,Surface,5,,Image 1,1,61,
Intensity Min,0,,Surface,1,,Image 1,1,62,
Intensity Min,0,,Surface,2,,Image 1,1,62,
Intensity Min,0,,Surface,3,,Image 1,1,62,
Intensity Min,0,,Surface,4,,Image 1,1,62,
Intensity Min,0,,Surface,5,,Image 1,1,62,
Intensity Min,0,,Surface,1,,Image 1,1,63,
Intensity Min,0,,Surface,2,,Image 1,1,63,
Intensity Min,0,,Surface,3,,Image 1,1,63,
Intensity Min,1,,Surface,4,,Image 1,1,63,
Intensity Min,0,,Surface,5,,Image 1,1,63,
Intensity Min,0,,Surface,1,,Image 1,1,64,
Intensity Min,0,,Surface,2,,Image 1,1,64,
Intensity Min,0,,Surface,3,,Image 1,1,64,
Intensity Min,1,,Surface,4,,Image 1,1,64,
Intensity Min,0,,Surface,5,,Image 1,1,64,
Intensity StdDev,2.08062,,Surface,1,,Image 1,1,61,
Intensity StdDev,24.0309,,Surface,2,,Image 1,1,61,
Intensity StdDev,1.59374,,Surface,3,,Image 1,1,61,
Intensity StdDev,6.09212,,Surface,4,,Image 1,1,61,
Intensity StdDev,2.08062,,Surface,5,,Image 1,1,61,
Intensity StdDev,0.806978,,Surface,1,,Image 1,1,62,
Intensity StdDev,14.3345,,Surface,2,,Image 1,1,62,
Intensity StdDev,8.3579,,Surface,3,,Image 1,1,62,
Intensity StdDev,6.64131,,Surface,4,,Image 1,1,62,
Intensity StdDev,0.806331,,Surface,5,,Image 1,1,62,
Intensity StdDev,3.45032,,Surface,1,,Image 1,1,63,
Intensity StdDev,16.7342,,Surface,2,,Image 1,1,63,
Intensity StdDev,4.44138,,Surface,3,,Image 1,1,63,
Intensity StdDev,7.84707,,Surface,4,,Image 1,1,63,
Intensity StdDev,3.45103,,Surface,5,,Image 1,1,63,
Intensity StdDev,1.15645,,Surface,1,,Image 1,1,64,
Intensity StdDev,19.0127,,Surface,2,,Image 1,1,64,
Intensity StdDev,4.16353,,Surface,3,,Image 1,1,64,
