
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,0.128344,um^2,Surface,,,,1,0,
Area,27.5261,um^2,Surface,,,,1,1,
Area,4.5211,um^2,Surface,,,,1,2,
Contact surface area,2.49,um,Surface,,,,,0,
Contact surface area,15.9675,um,Surface,,,,,1,
Contact surface area,0.085,um,Surface,,,,,2,
Distance from Origin,158.895,um,Surface,,Distance from Origin,,1,0,
Distance from Origin,159.072,um,Surface,,Distance from Origin,,1,1,
Distance from Origin,122.046,um,Surface,,Distance from Origin,,1,2,
Distance to Image Border XY,25.725,um,Surface,,,Image 1,1,0,
Distance to Image Border XY,24.4275,um,Surface,,,Image 1,1,1,
Distance to Image Border XY,53.3689,um,Surface,,,Image 1,1,2,
Ellipticity (oblate),0.242547,,Surface,,,,1,0,
Ellipticity (oblate),0.427652,,Surface,,,,1,1,
Ellipticity (oblate),0.550222,,Surface,,,,1,2,
Ellipticity (prolate),0.584913,,Surface,,,,1,0,
Ellipticity (prolate),0.356452,,Surface,,,,1,1,
Ellipticity (prolate),0.310524,,Surface,,,,1,2,
Generation,0,,Surface,,,,1,0,
Generation,0,,Surface,,,,1,1,
Generation,0,,Surface,,,,1,2,
Intensity Max,144,,Surface,1,,Image 1,1,0,
Intensity Max,17,,Surface,2,,Image 1,1,0,
Intensity Max,56,,Surface,3,,Image 1,1,0,
Intensity Max,7,,Surface,4,,Image 1,1,0,
Intensity Max,222,,Surface,1,,Image 1,1,1,
Intensity Max,46,,Surface,2,,Image 1,1,1,
Intensity Max,73,,Surface,3,,Image 1,1,1,
Intensity Max,13,,Surface,4,,Image 1,1,1,
Intensity Max,38,,Surface,1,,Image 1,1,2,
Intensity Max,33,,Surface,2,,Image 1,1,2,
Intensity Max,62,,Surface,3,,Image 1,1,2,
Intensity Max,5,,Surface,4,,Image 1,1,2,
Intensity Mean,130.441,,Surface,1,,Image 1,1,0,
Intensity Mean,8.35294,,Surface,2,,Image 1,1,0,
Intensity Mean,49.3529,,Surface,3,,Image 1,1,0,
Intensity Mean,3.76471,,Surface,4,,Image 1,1,0,
Intensity Mean,52.8394,,Surface,1,,Image 1,1,1,
Intensity Mean,6.13152,,Surface,2,,Image 1,1,1,
Intensity Mean,23.6869,,Surface,3,,Image 1,1,1,
Intensity Mean,1.84296,,Surface,4,,Image 1,1,1,
Intensity Mean,9.22691,,Surface,1,,Image 1,1,2,
Intensity Mean,5.2008,,Surface,2,,Image 1,1,2,
Intensity Mean,25.9779,,Surface,3,,Image 1,1,2,
Intensity Mean,0.580321,,Surface,4,,Image 1,1,2,
Intensity Median,131.02,,Surface,1,,Image 1,1,0,
Intensity Median,8,,Surface,2,,Image 1,1,0,
Intensity Median,48.504,,Surface,3,,Image 1,1,0,
Intensity Median,3.998,,Surface,4,,Image 1,1,0,
Intensity Median,48.92,,Surface,1,,Image 1,1,1,
Intensity Median,4.02,,Surface,2,,Image 1,1,1,
Intensity Median,22.008,,Surface,3,,Image 1,1,1,
Intensity Median,1.996,,Surface,4,,Image 1,1,1,
Intensity Median,6.984,,Surface,1,,Image 1,1,2,
Intensity Median,3.992,,Surface,2,,Image 1,1,2,
Intensity Median,25,,Surface,3,,Image 1,1,2,
Intensity Median,0.002,,Surface,4,,Image 1,1,2,
Intensity Min,118,,Surface,1,,Image 1,1,0,
Intensity Min,2,,Surface,2,,Image 1,1,0,
Intensity Min,41,,Surface,3,,Image 1,1,0,
Intensity Min,2,,Surface,4,,Image 1,1,0,
Intensity Min,0,,Surface,1,,Image 1,1,1,
Intensity Min,0,,Surface,2,,Image 1,1,1,
Intensity Min,2,,Surface,3,,Image 1,1,1,
Intensity Min,0,,Surface,4,,Image 1,1,1,
Intensity Min,0,,Surface,1,,Image 1,1,2,
Intensity Min,0,,Surface,2,,Image 1,1,2,
Intensity Min,4,,Surface,3,,Image 1,1,2,
Intensity Min,0,,Surface,4,,Image 1,1,2,
Intensity StdDev,6.5583,,Surface,1,,Image 1,1,0,
Intensity StdDev,4.06479,,Surface,2,,Image 1,1,0,
Intensity StdDev,3.99913,,Surface,3,,Image 1,1,0,
Intensity StdDev,1.32972,,Surface,4,,Image 1,1,0,
Intensity StdDev,39.6557,,Surface,1,,Image 1,1,1,
Intensity StdDev,6.04207,,Surface,2,,Image 1,1,1,
Intensity StdDev,11.4568,,Surface,3,,Image 1,1,1,
Intensity StdDev,1.67406,,Surface,4,,Image 1,1,1,
Intensity StdDev,8.53346,,Surface,1,,Image 1,1,2,
Intensity StdDev,4.8547,,Surface,2,,Image 1,1,2,
Intensity StdDev,11.9053,,Surface,3,,Image 1,1,2,
Intensity StdDev,0.827838,,Surface,4,,Image 1,1,2,
Intensity Sum,4435,,Surface,1,,Image 1,1,0,
Intensity Sum,284,,Surface,2,,Image 1,1,0,
Intensity Sum,1678,,Surface,3,,Image 1,1,0,
Intensity Sum,128,,Surface,4,,Image 1,1,0,
Intensity Sum,337485,,Surface,1,,Image 1,1,1,
Intensity Sum,39162,,Surface,2,,Image 1,1,1,
Intensity Sum,151288,,Surface,3,,Image 1,1,1,
Intensity Sum,11771,,Surface,4,,Image 1,1,1,
Intensity Sum,9190,,Surface,1,,Image 1,1,2,
Intensity Sum,5180,,Surface,2,,Image 1,1,2,
Intensity Sum,25874,,Surface,3,,Image 1,1,2,
Intensity Sum,578,,Surface,4,,Image 1,1,2,
Number of Disconnected Components,1,,Surface,,,,1,0,
Number of Disconnected Components,1,,Surface,,,,1,1,
Number of Disconnected Components,1,,Surface,,,,1,2,
Position X,100.175,um,Surface,,Position,,1,0,
Position X,99.9418,um,Surface,,Position,,1,1,
Position X,80.4561,um,Surface,,Position,,1,2,
Position Y,123.325,um,Surface,,Position,,1,0,
Position Y,123.747,um,Surface,,Position,,1,1,
Position Y,91.7695,um,Surface,,Position,,1,2,
Position Z,1.875,um,Surface,,Position,,1,0,
Position Z,1.40916,um,Surface,,Position,,1,1,
Position Z,0.614408,um,Surface,,Position,,1,2,
Sphericity,0.753666,,Surface,,,,1,0,
Sphericity,0.134946,,Surface,,,,1,1,
Sphericity,0.232992,,Surface,,,,1,2,
Time,0,s,Surface,,,,1,0,
Time,0,s,Surface,,,,1,1,
Time,0,s,Surface,,,,1,2,
Time Index,1,,Surface,,,,1,0,
Time Index,1,,Surface,,,,1,1,
Time Index,1,,Surface,,,,1,2,
Volume,0.00282881,um^3,Surface,,,,1,0,
Volume,0.673182,um^3,Surface,,,,1,1,
Volume,0.10166,um^3,Surface,,,,1,2,
