
Detailed
 ==================== 
Variable,Value,Unit,Category,Channel,Collection,Image,Time,ID,
Area,3.45856,um^2,Surface,,,,1,39,
Area,4.27379,um^2,Surface,,,,1,40,
Area,9.72067,um^2,Surface,,,,1,42,
Area,10.6338,um^2,Surface,,,,1,43,
Area,2.40166,um^2,Surface,,,,1,44,
Area,5.06981,um^2,Surface,,,,1,45,
Area,8.19666,um^2,Surface,,,,1,46,
Area,36.6976,um^2,Surface,,,,1,48,
Area,42.9973,um^2,Surface,,,,1,50,
Area,4.43805,um^2,Surface,,,,1,51,
Distance from Origin,142.494,um,Surface,,Distance from Origin,,1,39,
Distance from Origin,161.708,um,Surface,,Distance from Origin,,1,40,
Distance from Origin,159.558,um,Surface,,Distance from Origin,,1,42,
Distance from Origin,154.974,um,Surface,,Distance from Origin,,1,43,
Distance from Origin,146.633,um,Surface,,Distance from Origin,,1,44,
Distance from Origin,148.552,um,Surface,,Distance from Origin,,1,45,
Distance from Origin,149.983,um,Surface,,Distance from Origin,,1,46,
Distance from Origin,143.228,um,Surface,,Distance from Origin,,1,48,
Distance from Origin,135.109,um,Surface,,Distance from Origin,,1,50,
Distance from Origin,127.5,um,Surface,,Distance from Origin,,1,51,
Distance to Image Border XY,31.5452,um,Surface,,,Image 1,1,39,
Distance to Image Border XY,24.1382,um,Surface,,,Image 1,1,40,
Distance to Image Border XY,22.4648,um,Surface,,,Image 1,1,42,
Distance to Image Border XY,30.5887,um,Surface,,,Image 1,1,43,
Distance to Image Border XY,29.9781,um,Surface,,,Image 1,1,44,
Distance to Image Border XY,30.9173,um,Surface,,,Image 1,1,45,
Distance to Image Border XY,31.9977,um,Surface,,,Image 1,1,46,
Distance to Image Border XY,27.8835,um,Surface,,,Image 1,1,48,
Distance to Image Border XY,25.2745,um,Surface,,,Image 1,1,50,
Distance to Image Border XY,18.432,um,Surface,,,Image 1,1,51,
Ellipticity (oblate),0.226374,,Surface,,,,1,39,
Ellipticity (oblate),0.399365,,Surface,,,,1,40,
Ellipticity (oblate),0.49046,,Surface,,,,1,42,
Ellipticity (oblate),0.356768,,Surface,,,,1,43,
Ellipticity (oblate),0.380978,,Surface,,,,1,44,
Ellipticity (oblate),0.415247,,Surface,,,,1,45,
Ellipticity (oblate),0.331404,,Surface,,,,1,46,
Ellipticity (oblate),0.458236,,Surface,,,,1,48,
Ellipticity (oblate),0.507355,,Surface,,,,1,50,
Ellipticity (oblate),0.312482,,Surface,,,,1,51,
Ellipticity (prolate),0.771448,,Surface,,,,1,39,
Ellipticity (prolate),0.29899,,Surface,,,,1,40,
Ellipticity (prolate),0.309034,,Surface,,,,1,42,
Ellipticity (prolate),0.35149,,Surface,,,,1,43,
Ellipticity (prolate),0.384185,,Surface,,,,1,44,
Ellipticity (prolate),0.344988,,Surface,,,,1,45,
Ellipticity (prolate),0.477628,,Surface,,,,1,46,
Ellipticity (prolate),0.386579,,Surface,,,,1,48,
Ellipticity (prolate),0.352625,,Surface,,,,1,50,
Ellipticity (prolate),0.405624,,Surface,,,,1,51,
Generation,0,,Surface,,,,1,39,
Generation,0,,Surface,,,,1,40,
Generation,0,,Surface,,,,1,42,
Generation,0,,Surface,,,,1,43,
Generation,0,,Surface,,,,1,44,
Generation,0,,Surface,,,,1,45,
Generation,0,,Surface,,,,1,46,
Generation,0,,Surface,,,,1,48,
Generation,0,,Surface,,,,1,50,
Generation,0,,Surface,,,,1,51,
Intensity Max,14,,Surface,1,,Image 1,1,39,
Intensity Max,12,,Surface,2,,Image 1,1,39,
Intensity Max,1,,Surface,3,,Image 1,1,39,
Intensity Max,17,,Surface,4,,Image 1,1,39,
Intensity Max,14,,Surface,5,,Image 1,1,39,
Intensity Max,32,,Surface,1,,Image 1,1,40,
Intensity Max,9,,Surface,2,,Image 1,1,40,
Intensity Max,6,,Surface,3,,Image 1,1,40,
Intensity Max,14,,Surface,4,,Image 1,1,40,
Intensity Max,32,,Surface,5,,Image 1,1,40,
Intensity Max,30,,Surface,1,,Image 1,1,42,
Intensity Max,21,,Surface,2,,Image 1,1,42,
Intensity Max,8,,Surface,3,,Image 1,1,42,
Intensity Max,21,,Surface,4,,Image 1,1,42,
Intensity Max,30,,Surface,5,,Image 1,1,42,
Intensity Max,45,,Surface,1,,Image 1,1,43,
Intensity Max,28,,Surface,2,,Image 1,1,43,
Intensity Max,8,,Surface,3,,Image 1,1,43,
Intensity Max,26,,Surface,4,,Image 1,1,43,
Intensity Max,45,,Surface,5,,Image 1,1,43,
Intensity Max,2,,Surface,1,,Image 1,1,44,
Intensity Max,9,,Surface,2,,Image 1,1,44,
Intensity Max,59,,Surface,3,,Image 1,1,44,
Intensity Max,7,,Surface,4,,Image 1,1,44,
Intensity Max,0,,Surface,5,,Image 1,1,44,
Intensity Max,0,,Surface,1,,Image 1,1,45,
Intensity Max,17,,Surface,2,,Image 1,1,45,
Intensity Max,51,,Surface,3,,Image 1,1,45,
Intensity Max,14,,Surface,4,,Image 1,1,45,
Intensity Max,0,,Surface,5,,Image 1,1,45,
Intensity Max,32,,Surface,1,,Image 1,1,46,
Intensity Max,14,,Surface,2,,Image 1,1,46,
Intensity Max,77,,Surface,3,,Image 1,1,46,
Intensity Max,15,,Surface,4,,Image 1,1,46,
Intensity Max,32,,Surface,5,,Image 1,1,46,
Intensity Max,40,,Surface,1,,Image 1,1,48,
Intensity Max,56,,Surface,2,,Image 1,1,48,
Intensity Max,97,,Surface,3,,Image 1,1,48,
Intensity Max,22,,Surface,4,,Image 1,1,48,
Intensity Max,40,,Surface,5,,Image 1,1,48,
Intensity Max,54,,Surface,1,,Image 1,1,50,
Intensity Max,53,,Surface,2,,Image 1,1,50,
Intensity Max,17,,Surface,3,,Image 1,1,50,
Intensity Max,26,,Surface,4,,Image 1,1,50,
Intensity Max,54,,Surface,5,,Image 1,1,50,
Intensity Max,2,,Surface,1,,Image 1,1,51,
Intensity Max,20,,Surface,2,,Image 1,1,51,
Intensity Max,5,,Surface,3,,Image 1,1,51,
Intensity Max,18,,Surface,4,,Image 1,1,51,
Intensity Max,2,,Surface,5,,Image 1,1,51,
Intensity Mean,0.555186,,Surface,1,,Image 1,1,39,
